# Matter power spectrum P(k) at redshift z=0
# for k=1.04968e-05 to 1.07677 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049679010621e-05       4.488989229532e+01 
       1.321467580698e-05       5.647311510759e+01 
       1.663629118203e-05       7.213941966672e+01 
       2.094384972706e-05       9.129822560213e+01 
       2.636674464220e-05       1.145544382400e+02 
       3.319376485635e-05       1.444709888802e+02 
       4.178847409078e-05       1.792192690862e+02 
       5.260857195298e-05       2.243133434663e+02 
       6.623026810981e-05       2.802391064630e+02 
       8.337896755338e-05       3.501915848036e+02 
       1.049679010621e-04       4.373597644313e+02 
       1.321467580698e-04       5.462071482559e+02 
       1.663629118203e-04       6.820995276668e+02 
       2.094384972706e-04       8.517045946349e+02 
       2.636674464220e-04       1.063275457579e+03 
       3.319376485635e-04       1.327003356177e+03 
       4.178847409078e-04       1.655322735305e+03 
       5.260857195298e-04       2.063363543237e+03 
       6.623026810981e-04       2.569250132565e+03 
       8.337896755338e-04       3.194306817264e+03 
       1.049679010621e-03       3.963036800603e+03 
       1.321467580698e-03       4.902542468897e+03 
       1.663629118203e-03       6.040910410768e+03 
       2.094384972706e-03       7.404955826707e+03 
       2.636674464220e-03       9.015621677787e+03 
       3.319376485635e-03       1.088194244362e+04 
       4.178847409078e-03       1.299265922121e+04 
       5.260857195298e-03       1.530489164518e+04 
       6.623026810981e-03       1.772997661499e+04 
       8.337896755338e-03       2.011872853621e+04 
       1.049679010621e-02       2.224525893130e+04 
       1.321467580698e-02       2.379897293927e+04 
       1.663629118200e-02       2.440254495657e+04 
       2.094384956115e-02       2.368236908829e+04 
       2.636661815037e-02       2.146396438173e+04 
       3.317623484010e-02       1.808382676351e+04 
       4.120444211505e-02       1.470081344527e+04 
       4.798009889481e-02       1.276149976986e+04 
       5.289273859712e-02       1.180836111315e+04 
       5.694275567995e-02       1.121406423858e+04 
       6.055829362367e-02       1.076543050571e+04 
       6.393009345942e-02       1.037338079495e+04 
       6.715906135553e-02       9.993043110820e+03 
       7.030567961805e-02       9.600415039992e+03 
       7.340966609976e-02       9.184021055685e+03 
       7.649900650840e-02       8.740955881436e+03 
       7.959457653589e-02       8.274842635277e+03 
       8.271270964997e-02       7.794127994525e+03 
       8.586671832408e-02       7.310547500645e+03 
       8.906784286349e-02       6.837521122025e+03 
       9.232586856146e-02       6.388515529554e+03 
       9.564954123599e-02       5.975594348160e+03 
       9.904685512227e-02       5.608027616659e+03 
       1.025252570731e-01       5.291564579713e+03 
       1.060917941787e-01       5.027283628067e+03 
       1.097532220854e-01       4.812085556881e+03 
       1.135160853620e-01       4.637944005303e+03 
       1.173867775683e-01       4.493651084896e+03 
       1.213715863402e-01       4.364299394081e+03 
       1.254767272782e-01       4.234609670823e+03 
       1.297083694263e-01       4.090915323584e+03 
       1.340726544635e-01       3.920949015139e+03 
       1.385757112860e-01       3.722590439009e+03 
       1.432236673635e-01       3.498898343671e+03 
       1.480226580601e-01       3.261146962993e+03 
       1.529788349848e-01       3.025129820847e+03 
       1.580983743540e-01       2.806768739476e+03 
       1.633874863026e-01       2.619308530290e+03 
       1.688524260441e-01       2.468872508477e+03 
       1.744995077645e-01       2.353389684923e+03 
       1.803351221183e-01       2.263159250417e+03 
       1.863657581891e-01       2.183847031220e+03 
       1.925980307695e-01       2.098937506820e+03 
       1.990387138217e-01       1.996337188418e+03 
       2.056947809900e-01       1.874359237392e+03 
       2.125734540724e-01       1.741274067310e+03 
       2.196822604150e-01       1.611103751022e+03 
       2.270291002900e-01       1.496995657103e+03 
       2.346223254688e-01       1.405658871040e+03 
       2.424708304176e-01       1.334908520694e+03 
       2.505841578507e-01       1.275066190042e+03 
       2.589726207942e-01       1.213923203224e+03 
       2.676474438845e-01       1.143595127142e+03 
       2.766209273763e-01       1.065195161297e+03 
       2.859066383401e-01       9.875699227670e+02 
       2.955196348473e-01       9.198340030272e+02 
       3.054767306969e-01       8.649825507556e+02 
       3.157968105684e-01       8.182512033125e+02 
       3.265012086210e-01       7.719020279903e+02 
       3.376141678049e-01       7.218164507016e+02 
       3.491634029815e-01       6.704968673158e+02 
       3.611807990553e-01       6.235700424708e+02 
       3.737032867550e-01       5.834062591614e+02 
       3.867739550898e-01       5.470266457154e+02 
       4.004434834015e-01       5.104286650111e+02 
       4.147720114166e-01       4.735356749651e+02 
       4.298316194716e-01       4.389973180240e+02 
       4.457096744011e-01       4.078834337032e+02 
       4.625134288377e-01       3.784572291843e+02 
       4.803764774240e-01       3.492362808340e+02 
       4.994680361651e-01       3.213521056187e+02 
       5.200066420109e-01       2.954774356550e+02 
       5.422810097525e-01       2.702891617130e+02 
       5.666829345828e-01       2.458615973553e+02 
       5.937613933310e-01       2.225014451076e+02 
       6.243159385285e-01       1.995650244299e+02 
       6.595674454398e-01       1.771041033611e+02 
       7.014920337553e-01       1.547237850630e+02 
       7.535262188475e-01       1.321316099611e+02 
       8.221761139160e-01       1.088316943401e+02 
       9.208199172629e-01       8.436490083009e+01 
       1.076772977040e+00       5.909638351367e+01 
