# Matter power spectrum P(k) at redshift z=0
# for k=2.09641e-07 to 10.5177 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.096413626696e-07       2.533006207711e+04 
       2.639228388279e-07       1.269291685722e+04 
       3.322591685533e-07       6.388555501133e+03 
       4.182895105934e-07       1.202040536994e+02 
       5.265952943730e-07       7.589517274311e+00 
       6.629441978173e-07       1.563213424263e+00 
       8.345972972337e-07       1.358910984336e+01 
       1.050695746102e-06       1.182413360282e+01 
       1.322747574832e-06       1.129749801122e+01 
       1.665240535345e-06       1.165644016533e+01 
       2.096413626696e-06       2.582813696755e+01 
       2.639228388279e-06       2.196579595649e+01 
       3.322591685533e-06       1.825686240061e+01 
       4.182895105934e-06       1.950697679390e+01 
       5.265952943730e-06       2.316310529133e+01 
       6.629441978173e-06       2.782217952825e+01 
       8.345972972337e-06       3.469838796918e+01 
       1.050695746102e-05       4.612512808049e+01 
       1.322747574832e-05       5.906818784698e+01 
       1.665240535345e-05       7.358024772590e+01 
       2.096413626696e-05       9.253103117053e+01 
       2.639228388279e-05       1.160057592298e+02 
       3.322591685533e-05       1.446023001134e+02 
       4.182895105934e-05       1.809646222628e+02 
       5.265952943730e-05       2.261352628133e+02 
       6.629441978173e-05       2.824785700268e+02 
       8.345972972338e-05       3.527399451491e+02 
       1.050695746102e-04       4.406277401067e+02 
       1.322747574832e-04       5.503151457576e+02 
       1.665240535345e-04       6.872153086628e+02 
       2.096413626696e-04       8.581082333055e+02 
       2.639228388279e-04       1.071231854518e+03 
       3.322591685533e-04       1.336827669026e+03 
       4.182895105934e-04       1.667434640854e+03 
       5.265952943730e-04       2.078222526686e+03 
       6.629441978173e-04       2.587393337732e+03 
       8.345972972338e-04       3.216413164169e+03 
       1.050695746102e-03       3.990129959080e+03 
       1.322747574832e-03       4.936286720167e+03 
       1.665240535345e-03       6.084405641032e+03 
       2.096413626696e-03       7.463323475485e+03 
       2.639228388279e-03       9.097458054908e+03 
       3.322591685533e-03       1.100085221118e+04 
       4.182895105934e-03       1.316878471970e+04 
       5.265952943730e-03       1.556634931728e+04 
       6.629441978173e-03       1.804366034741e+04 
       8.345972972338e-03       2.049434379512e+04 
       1.050695746102e-02       2.270788039515e+04 
       1.322747574832e-02       2.437121953649e+04 
       1.665240535343e-02       2.509250789019e+04 
       2.096413609627e-02       2.447622886828e+04 
       2.639215465740e-02       2.231758161354e+04 
       3.320810985182e-02       1.892304808409e+04 
       4.123873045233e-02       1.545982155800e+04 
       4.800631690214e-02       1.345101707529e+04 
       5.291490530584e-02       1.245748786827e+04 
       5.696320337455e-02       1.183748014660e+04 
       6.057797191643e-02       1.137049380336e+04 
       6.394946855535e-02       1.096346668353e+04 
       6.717839874298e-02       1.056901804885e+04 
       7.032514807126e-02       1.016152964736e+04 
       7.342938253752e-02       9.728278366448e+03 
       7.651905782192e-02       9.265671075356e+03 
       7.961503122780e-02       8.777055350722e+03 
       8.273362449863e-02       8.271023546712e+03 
       8.588814242288e-02       7.759844558550e+03 
       8.908982018538e-02       7.257751166409e+03 
       9.234843965107e-02       6.779282077749e+03 
       9.567274436247e-02       6.337621620873e+03 
       9.907072708630e-02       5.943178814362e+03 
       1.025498337845e-01       5.602508675373e+03 
       1.061171110775e-01       5.317599733584e+03 
       1.097793144533e-01       5.085607532192e+03 
       1.135429885550e-01       4.898907232142e+03 
       1.174145271920e-01       4.745564373810e+03 
       1.214002183826e-01       4.610357077461e+03 
       1.255062782097e-01       4.476497316941e+03 
       1.297388762764e-01       4.328169098536e+03 
       1.341041548796e-01       4.153549729516e+03 
       1.386082435790e-01       3.947609408582e+03 
       1.432572705452e-01       3.713644443975e+03 
       1.480573718765e-01       3.462849364638e+03 
       1.530146999482e-01       3.211681716390e+03 
       1.581354317780e-01       2.977813600725e+03 
       1.634257783434e-01       2.775671206125e+03 
       1.688919957514e-01       2.612810827126e+03 
       1.745403991458e-01       2.488003252204e+03 
       1.803773802205e-01       2.391482870746e+03 
       1.864094292000e-01       2.308216701137e+03 
       1.926431621444e-01       2.220395493892e+03 
       1.990853544376e-01       2.114039850349e+03 
       2.057429813329e-01       1.986140270074e+03 
       2.126232664610e-01       1.844968088407e+03 
       2.197337392656e-01       1.705454598648e+03 
       2.270823024284e-01       1.581974643596e+03 
       2.346773104950e-01       1.482523936609e+03 
       2.425276611310e-01       1.405767038787e+03 
       2.506429007431e-01       1.341728359800e+03 
       2.590333466234e-01       1.277088956174e+03 
       2.677102283406e-01       1.202890808881e+03 
       2.766858518586e-01       1.119570947670e+03 
       2.859737908657e-01       1.036053805096e+03 
       2.955891111205e-01       9.627041951950e+02 
       3.055486353753e-01       9.032312389333e+02 
       3.158712587736e-01       8.530084833317e+02 
       3.265783277560e-01       8.037635202888e+02 
       3.376940997617e-01       7.505453374561e+02 
       3.492463068487e-01       6.957257779205e+02 
       3.612668544767e-01       6.452680056090e+02 
       3.737926981426e-01       6.021380651711e+02 
       3.868669569768e-01       5.633367877061e+02 
       4.005403473359e-01       5.245312390079e+02 
       4.148730549688e-01       4.853214395355e+02 
       4.299372181969e-01       4.485488075069e+02 
       4.458202780087e-01       4.154802856479e+02 
       4.626295834809e-01       3.843991399319e+02 
       4.804988571164e-01       3.536107007044e+02 
       4.995974881772e-01       3.242111111385e+02 
       5.201442543674e-01       2.970526012749e+02 
       5.424282149328e-01       2.707429380041e+02 
       5.668416750153e-01       2.452913080951e+02 
       5.939343975100e-01       2.210732740792e+02 
       6.245072064201e-01       1.974154061280e+02 
       6.597831560388e-01       1.743759284208e+02 
       7.017423682681e-01       1.515636925638e+02 
       7.538293271796e-01       1.287131105697e+02 
       8.225673879099e-01       1.053585854850e+02 
       9.213734086666e-01       8.109926388521e+01 
       1.077628226374e+00       5.635705031891e+01 
       1.326331848559e+00       3.458790348455e+01 
       1.666991488365e+00       2.000995833174e+01 
       2.098565628800e+00       1.141481340331e+01 
       2.641937404249e+00       6.461272954267e+00 
       3.326002134477e+00       3.632492527607e+00 
       4.187188606775e+00       2.028809013917e+00 
       5.271358141043e+00       1.126475928164e+00 
       6.636246718428e+00       6.220896178919e-01 
       8.354539632764e+00       3.418710279685e-01 
       1.051774224753e+01       1.870247326830e-01 
