# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 5.26676 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.939693036558e+01 
       1.321592908369e-05       5.803954613441e+01 
       1.663786896393e-05       7.401438664088e+01 
       2.094583603679e-05       9.219415412883e+01 
       2.636924525799e-05       1.149423961269e+02 
       3.319691294512e-05       1.439819707226e+02 
       4.179243729973e-05       1.795166434369e+02 
       5.261356133744e-05       2.243080287944e+02 
       6.623654937270e-05       2.801737845891e+02 
       8.338687519485e-05       3.499956337448e+02 
       1.049778561929e-04       4.372597648629e+02 
       1.321592908369e-04       5.461360098284e+02 
       1.663786896393e-04       6.820335756815e+02 
       2.094583603679e-04       8.516341153248e+02 
       2.636924525799e-04       1.063209369080e+03 
       3.319691294512e-04       1.326864919666e+03 
       4.179243729973e-04       1.655113599348e+03 
       5.261356133744e-04       2.063041090458e+03 
       6.623654937270e-04       2.568766219969e+03 
       8.338687519485e-04       3.193632215731e+03 
       1.049778561929e-03       3.962222046869e+03 
       1.321592908369e-03       4.901794505206e+03 
       1.663786896393e-03       6.040798658557e+03 
       2.094583603679e-03       7.406215377851e+03 
       2.636924525799e-03       9.019275979763e+03 
       3.319691294512e-03       1.088945977396e+04 
       4.179243729973e-03       1.300631938869e+04 
       5.261356133744e-03       1.532783796153e+04 
       6.623654937270e-03       1.776917100349e+04 
       8.338687519485e-03       2.018689828152e+04 
       1.049778561929e-02       2.236041718884e+04 
       1.321592908369e-02       2.398386579694e+04 
       1.663786896390e-02       2.467804873274e+04 
       2.094583587082e-02       2.405381641856e+04 
       2.636911872837e-02       2.190947966167e+04 
       3.317937869056e-02       1.855240438538e+04 
       4.120829406624e-02       1.513601046876e+04 
       4.798444742424e-02       1.315553576729e+04 
       5.289746506074e-02       1.217742859417e+04 
       5.694780992335e-02       1.156773449476e+04 
       6.056364813182e-02       1.110902866862e+04 
       6.393573213032e-02       1.070971514332e+04 
       6.716497467566e-02       1.032322961024e+04 
       7.031186225901e-02       9.924326203320e+03 
       7.341611559804e-02       9.500526215713e+03 
       7.650572248419e-02       9.048245027549e+03 
       7.960156020378e-02       8.570678989836e+03 
       8.271996349867e-02       8.076194769992e+03 
       8.587424589942e-02       7.576712012258e+03 
       8.907564861756e-02       7.086126672211e+03 
       9.233395774559e-02       6.618611001567e+03 
       9.565791982369e-02       6.187042789670e+03 
       9.905552975330e-02       5.801566635033e+03 
       1.025342350127e-01       5.468603897757e+03 
       1.061010832874e-01       5.190097282610e+03 
       1.097628307978e-01       4.963312227646e+03 
       1.135260226708e-01       4.780799970536e+03 
       1.173970530133e-01       4.630932956678e+03 
       1.213822100006e-01       4.498855476132e+03 
       1.254877097673e-01       4.368196448210e+03 
       1.297197218884e-01       4.223495020942e+03 
       1.340843885724e-01       4.053189527851e+03 
       1.385878392441e-01       3.852336883114e+03 
       1.432362019019e-01       3.624112001340e+03 
       1.480356124401e-01       3.379399678833e+03 
       1.529922229991e-01       3.134256575153e+03 
       1.581122103294e-01       2.905922794386e+03 
       1.634017851034e-01       2.708501287589e+03 
       1.688672030761e-01       2.549401599545e+03 
       1.745147789810e-01       2.427464684499e+03 
       1.803509040273e-01       2.333195080735e+03 
       1.863820678626e-01       2.251955318257e+03 
       1.926148858558e-01       2.166247158870e+03 
       1.990561325600e-01       2.062521865408e+03 
       2.057127822296e-01       1.937903211345e+03 
       2.125920572962e-01       1.800248139069e+03 
       2.197014857678e-01       1.664024545072e+03 
       2.270489686135e-01       1.543455927191e+03 
       2.346428583438e-01       1.446403646485e+03 
       2.424920502145e-01       1.371434580066e+03 
       2.506060877896e-01       1.308909896259e+03 
       2.589952850160e-01       1.245942939330e+03 
       2.676708675354e-01       1.173608915779e+03 
       2.766451367073e-01       1.092326237437e+03 
       2.859316608238e-01       1.010874338126e+03 
       2.955454993155e-01       9.392495594900e+02 
       3.055034675027e-01       8.811833306703e+02 
       3.158244517782e-01       8.322005989519e+02 
       3.265297882407e-01       7.841531975459e+02 
       3.376437220498e-01       7.322821993927e+02 
       3.491939705992e-01       6.787837330272e+02 
       3.612124217144e-01       6.295490911262e+02 
       3.737360095167e-01       5.874438919131e+02 
       3.868078269858e-01       5.495999267863e+02 
       4.004785581499e-01       5.117449000577e+02 
       4.148083483167e-01       4.735059992659e+02 
       4.298692845408e-01       4.376137316684e+02 
       4.457487418382e-01       4.053571079316e+02 
       4.625539829387e-01       3.750391440706e+02 
       4.804186151397e-01       3.450036344066e+02 
       4.995118705875e-01       3.163241268194e+02 
       5.200523072474e-01       2.898320729739e+02 
       5.423286679377e-01       2.641687020529e+02 
       5.667327863085e-01       2.393380146072e+02 
       5.938136937877e-01       2.157127168631e+02 
       6.243710236877e-01       1.926345430087e+02 
       6.596257769879e-01       1.701586932648e+02 
       7.015542815944e-01       1.479110285492e+02 
       7.535934250155e-01       1.256260095877e+02 
       8.222500464495e-01       1.028503610276e+02 
       9.209038690122e-01       7.919125081355e+01 
       1.076873221064e+00       5.505779760265e+01 
       1.325204453667e+00       3.380336402952e+01 
       1.665539575811e+00       1.955832754396e+01 
       2.096736862685e+00       1.115790936372e+01 
       2.639635119420e+00       6.316224377586e+00 
       3.323103729597e+00       3.551165793308e+00 
       4.183539731218e+00       1.983489433222e+00 
       5.266764478880e+00       1.101394225723e+00 
