# Matter power spectrum P(k) at redshift z=0
# for k=8.38565e-06 to 52.9639 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.385654506784e-06       4.422823183457e+01 
       1.055691355312e-05       4.615065036629e+01 
       1.329036674213e-05       5.845373563923e+01 
       1.673158042374e-05       7.336311422601e+01 
       2.106381177492e-05       9.270937698401e+01 
       2.651776791269e-05       1.160531963819e+02 
       3.338389188935e-05       1.454308131650e+02 
       4.202782984409e-05       1.819505348056e+02 
       5.290990299329e-05       2.271630311911e+02 
       6.660962141382e-05       2.837837815824e+02 
       8.385654506784e-05       3.543182343752e+02 
       1.055691355312e-04       4.425109138299e+02 
       1.329036674213e-04       5.527942169822e+02 
       1.673158042374e-04       6.904147706311e+02 
       2.106381177492e-04       8.620784947503e+02 
       2.651776791269e-04       1.076146053434e+03 
       3.338389188935e-04       1.342937059420e+03 
       4.202782984409e-04       1.675011703637e+03 
       5.290990299329e-04       2.087607035162e+03 
       6.660962141382e-04       2.598974264895e+03 
       8.385654506784e-04       3.230642502871e+03 
       1.055691355312e-03       4.007446276744e+03 
       1.329036674213e-03       4.957181595968e+03 
       1.673158042374e-03       6.109224885043e+03 
       2.106381177492e-03       7.492203739107e+03 
       2.651776791269e-03       9.130059392345e+03 
       3.338389188935e-03       1.103607077779e+04 
       4.202782984409e-03       1.320435463305e+04 
       5.290990299329e-03       1.559844503844e+04 
       6.660962141382e-03       1.811843513064e+04 
       8.385654506784e-03       2.062510995484e+04 
       1.055691355312e-02       2.289314127268e+04 
       1.329036674213e-02       2.457676340550e+04 
       1.673158042370e-02       2.518683963752e+04 
       2.106381157538e-02       2.409805474853e+04 
       2.651762258311e-02       2.068754178901e+04 
       3.336448735489e-02       1.573884717528e+04 
       4.140272283381e-02       1.212667182724e+04 
       4.812135203296e-02       1.039763066520e+04 
       5.300467383292e-02       9.587589458546e+03 
       5.704101714735e-02       9.072193517001e+03 
       6.064931358045e-02       8.664373279118e+03 
       6.401705406613e-02       8.292016043229e+03 
       6.724377949011e-02       7.922293272530e+03 
       7.038930611537e-02       7.540507893475e+03 
       7.349298983350e-02       7.142166025764e+03 
       7.658260352001e-02       6.729441745272e+03 
       7.967889014619e-02       6.308961412297e+03 
       8.279809665115e-02       5.890099984743e+03 
       8.595347715759e-02       5.483557389126e+03 
       8.915623161341e-02       5.099981481115e+03 
       9.241611688495e-02       4.748791770981e+03 
       9.574185852434e-02       4.437188073927e+03 
       9.914143622947e-02       4.169475943428e+03 
       1.026222864230e-01       3.946617067909e+03 
       1.061914487598e-01       3.766074353822e+03 
       1.098556736637e-01       3.621942579877e+03 
       1.136215021303e-01       3.505244887477e+03 
       1.174953253836e-01       3.404607309471e+03 
       1.214834296543e-01       3.307425875525e+03 
       1.255920298380e-01       3.201501682870e+03 
       1.298272948014e-01       3.077150951682e+03 
       1.341953664459e-01       2.929308660724e+03 
       1.387023741973e-01       2.758919377729e+03 
       1.433544463003e-01       2.572986315260e+03 
       1.481577191057e-01       2.383022881066e+03 
       1.531183454094e-01       2.202307590829e+03 
       1.582425028290e-01       2.042659301390e+03 
       1.635364031496e-01       1.911621732356e+03 
       1.690063035414e-01       1.810674631755e+03 
       1.746585205324e-01       1.734819331778e+03 
       1.804994476046e-01       1.673712239210e+03 
       1.865355772757e-01       1.614932689963e+03 
       1.927735285226e-01       1.546287503180e+03 
       1.992200804055e-01       1.460850184299e+03 
       2.058822127684e-01       1.361070675378e+03 
       2.127671549205e-01       1.256587933719e+03 
       2.198824432661e-01       1.159041694500e+03 
       2.272359889475e-01       1.077191864898e+03 
       2.348361567149e-01       1.013947155281e+03 
       2.426918564594e-01       9.651276210272e+02 
       2.508126491506e-01       9.213876884099e+02 
       2.592088693470e-01       8.735413472299e+02 
       2.678917670166e-01       8.176142318340e+02 
       2.768736721659e-01       7.566873769042e+02 
       2.861681867846e-01       6.987204955025e+02 
       2.957904099431e-01       6.502419067245e+02 
       3.057572036446e-01       6.115155680678e+02 
       3.160875093855e-01       5.776237224191e+02 
       3.268027285316e-01       5.425721062383e+02 
       3.379271839006e-01       5.043881182487e+02 
       3.494886858148e-01       4.662829676316e+02 
       3.615192340650e-01       4.324672023020e+02 
       3.740558987573e-01       4.039015432062e+02 
       3.871419395553e-01       3.774583755561e+02 
       4.008282469504e-01       3.504928491380e+02 
       4.151752250317e-01       3.235745206325e+02 
       4.302552895635e-01       2.989115451546e+02 
       4.461562394180e-01       2.768257561345e+02 
       4.629858932193e-01       2.557386031296e+02 
       4.808786014932e-01       2.348406914603e+02 
       5.000046121321e-01       2.151937910796e+02 
       5.205839067472e-01       1.970443780475e+02 
       5.429072826929e-01       1.793551999381e+02 
       5.673696417611e-01       1.623782898655e+02 
       5.945247860233e-01       1.462429913692e+02 
       6.251801324828e-01       1.304796427703e+02 
       6.605701367558e-01       1.151767828140e+02 
       7.026960477024e-01       1.000351061442e+02 
       7.550447707740e-01       8.488741072417e+01 
       8.242321145722e-01       6.941691657749e+01 
       9.238828898846e-01       5.335510395093e+01 
       1.081723952913e+00       3.698259590979e+01 
       1.332475053263e+00       2.260894981510e+01 
       1.674902398093e+00       1.298327436170e+01 
       2.108529748688e+00       7.296463985775e+00 
       2.654481512400e+00       4.040448481261e+00 
       3.341794231013e+00       2.211739770546e+00 
       4.207069678410e+00       1.201766613054e+00 
       5.296386927338e+00       6.520033328187e-01 
       6.667756093521e+00       3.550793372036e-01 
       8.394207585779e+00       1.942998490248e-01 
       1.056768124161e+01       1.062766217607e-01 
       1.330392245881e+01       5.777747130048e-02 
       1.674864605993e+01       3.121819058688e-02 
       2.108529613799e+01       1.681617260751e-02 
       2.654481512332e+01       9.032932849547e-03 
       3.341794231013e+01       4.836140673381e-03 
       4.207069678410e+01       2.580920129668e-03 
       5.296386927338e+01       1.372627859117e-03 
