# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  529       3.495510284186e-10       8.836034637784e-13      -3.583790492912e-12       0.000000000000e+00       6.001636549224e-14       9.886731142362e-16       2.670865450440e-16 
  530       3.498106385305e-10       8.854172384117e-13      -3.405552023729e-12       0.000000000000e+00       5.961292538493e-14       9.849307537335e-16       2.547392733198e-16 
  531       3.500392174294e-10       8.879111296025e-13      -3.227021166838e-12       0.000000000000e+00       5.921291794416e-14       9.821212445727e-16       2.424579635886e-16 
  532       3.502366727213e-10       8.910901265099e-13      -3.048312074164e-12       0.000000000000e+00       5.881630155836e-14       9.802340066451e-16       2.302437185532e-16 
  533       3.504029142145e-10       8.949592064699e-13      -2.869540531750e-12       0.000000000000e+00       5.842303320314e-14       9.792581779653e-16       2.180976407706e-16 
  534       3.505378539347e-10       8.995233348036e-13      -2.690823967194e-12       0.000000000000e+00       5.803306843314e-14       9.791826131529e-16       2.060208326186e-16 
  535       3.506414061403e-10       9.047874646251e-13      -2.512281457090e-12       0.000000000000e+00       5.764636137386e-14       9.799958819150e-16       1.940143962623e-16 
  536       3.507134873379e-10       9.107565366493e-13      -2.334033734468e-12       0.000000000000e+00       5.726286471347e-14       9.816862675285e-16       1.820794336204e-16 
  537       3.507540162980e-10       9.174354790004e-13      -2.156203196232e-12       0.000000000000e+00       5.688252969466e-14       9.842417653219e-16       1.702170463320e-16 
  538       3.507629140700e-10       9.248292070192e-13      -1.978913910599e-12       0.000000000000e+00       5.650530610642e-14       9.876500811577e-16       1.584283357228e-16 
  539       3.507401039977e-10       9.329426230718e-13      -1.802291624542e-12       0.000000000000e+00       5.613114227594e-14       9.918986299143e-16       1.467144027715e-16 
  540       3.506855117349e-10       9.417806163571e-13      -1.626463771229e-12       0.000000000000e+00       5.575998506036e-14       9.969745339686e-16       1.350763480766e-16 
  541       3.505990652606e-10       9.513480627149e-13      -1.451559477458e-12       0.000000000000e+00       5.539177983865e-14       1.002864621678e-15       1.235152718225e-16 
  542       3.504806948947e-10       9.616498244340e-13      -1.277709571104e-12       0.000000000000e+00       5.502647050343e-14       1.009555425862e-15       1.120322737462e-16 
  543       3.503303333129e-10       9.726907500604e-13      -1.105046588552e-12       0.000000000000e+00       5.466399945276e-14       1.017033182286e-15       1.006284531037e-16 
  544       3.501479781745e-10       9.844741070992e-13      -9.336929388291e-13       0.000000000000e+00       5.430431656254e-14       1.025284554073e-15       8.930474930004e-17 
  545       3.499338818137e-10       9.969968344160e-13      -7.637250327800e-13       0.000000000000e+00       5.394740638406e-14       1.034298829344e-15       7.806145915965e-17 
  546       3.496883666547e-10       1.010254162415e-12      -5.952082086974e-13       0.000000000000e+00       5.359326165809e-14       1.044065779386e-15       6.689870667235e-17 
  547       3.494117630994e-10       1.024241167828e-12      -4.282084914366e-13       0.000000000000e+00       5.324187439566e-14       1.054574936828e-15       5.581660106345e-17 
  548       3.491044095681e-10       1.038952772887e-12      -2.627925950615e-13       0.000000000000e+00       5.289323587353e-14       1.065815594412e-15       4.481523669573e-17 
  549       3.487666525406e-10       1.054383744497e-12      -9.902792549078e-14       0.000000000000e+00       5.254733662962e-14       1.077776803769e-15       3.389469297139e-17 
  550       3.483988465968e-10       1.070528693414e-12       6.301741685632e-14       0.000000000000e+00       5.220416645854e-14       1.090447374195e-15       2.305503423408e-17 
  551       3.480013544571e-10       1.087382073414e-12       2.232746344136e-13       0.000000000000e+00       5.186371440698e-14       1.103815871429e-15       1.229630967081e-17 
  552       3.475745470237e-10       1.104938180468e-12       3.816742298221e-13       0.000000000000e+00       5.152596876920e-14       1.117870616427e-15       1.618553213976e-18 
  553       3.471188034213e-10       1.123191151916e-12       5.381460032836e-13       0.000000000000e+00       5.119091708252e-14       1.132599684138e-15      -8.978216556666e-18 
  554       3.466345110372e-10       1.142134965644e-12       6.926190499150e-13       0.000000000000e+00       5.085854612271e-14       1.147990902283e-15      -1.949399651205e-17 
  555       3.461220655630e-10       1.161763439250e-12       8.450217571018e-13       0.000000000000e+00       5.052884189954e-14       1.164031850126e-15      -2.992879907181e-17 
  556       3.455818710345e-10       1.182070229226e-12       9.952818018523e-13       0.000000000000e+00       5.020178965217e-14       1.180709857253e-15      -4.028265230228e-17 
  557       3.450143398732e-10       1.203048830127e-12       1.143326148151e-12       0.000000000000e+00       4.987737384464e-14       1.198012002349e-15      -5.055560001457e-17 
  558       3.444198929263e-10       1.224692573744e-12       1.289081044315e-12       0.000000000000e+00       4.955557816136e-14       1.215925111972e-15      -6.074770186253e-17 
  559       3.437989595082e-10       1.246994628282e-12       1.432472020342e-12       0.000000000000e+00       4.923638550250e-14       1.234435759329e-15      -7.085903344081e-17 
  560       3.431519774406e-10       1.269947997530e-12       1.573423885270e-12       0.000000000000e+00       4.891977797954e-14       1.253530263053e-15      -8.088968638288e-17 
  561       3.424793930938e-10       1.293545520035e-12       1.711860724532e-12       0.000000000000e+00       4.860573691064e-14       1.273194685978e-15      -9.083976845904e-17 
  562       3.417816614269e-10       1.317779868279e-12       1.847705897302e-12       0.000000000000e+00       4.829424281617e-14       1.293414833916e-15      -1.007094036744e-16 
  563       3.410592460291e-10       1.342643547847e-12       1.980882033857e-12       0.000000000000e+00       4.798527541417e-14       1.314176254433e-15      -1.104987323671e-16 
  564       3.403126191602e-10       1.368128896607e-12       2.111311032929e-12       0.000000000000e+00       4.767881361575e-14       1.335464235623e-15      -1.202079113061e-16 
  565       3.395422617912e-10       1.394228083879e-12       2.238914059055e-12       0.000000000000e+00       4.737483552063e-14       1.357263804888e-15      -1.298371137891e-16 
  566       3.387486636453e-10       1.420933109611e-12       2.363611539935e-12       0.000000000000e+00       4.707331841254e-14       1.379559727708e-15      -1.393865297411e-16 
  567       3.379323232385e-10       1.448235803552e-12       2.485323163786e-12       0.000000000000e+00       4.677423875471e-14       1.402336506423e-15      -1.488563658118e-16 
  568       3.370937479207e-10       1.476127824427e-12       2.603967876692e-12       0.000000000000e+00       4.647757218534e-14       1.425578379007e-15      -1.582468454741e-16 
  569       3.362334539157e-10       1.504600659107e-12       2.719463879963e-12       0.000000000000e+00       4.618329351304e-14       1.449269317840e-15      -1.675582091218e-16 
  570       3.353519663628e-10       1.533645621787e-12       2.831728627485e-12       0.000000000000e+00       4.589137671231e-14       1.473393028492e-15      -1.767907141677e-16 
  571       3.344498193570e-10       1.563253853159e-12       2.940678823075e-12       0.000000000000e+00       4.560179491898e-14       1.497932948491e-15      -1.859446351417e-16 
  572       3.335275559901e-10       1.593416319581e-12       3.046230417836e-12       0.000000000000e+00       4.531452042569e-14       1.522872246103e-15      -1.950202637890e-16 
  573       3.325857283909e-10       1.624123812259e-12       3.148298607511e-12       0.000000000000e+00       4.502952467735e-14       1.548193819109e-15      -2.040179091676e-16 
  574       3.316248977669e-10       1.655366946413e-12       3.246797829833e-12       0.000000000000e+00       4.474677826660e-14       1.573880293577e-15      -2.129378977468e-16 
  575       3.306456344440e-10       1.687136160455e-12       3.341641761886e-12       0.000000000000e+00       4.446625092927e-14       1.599914022642e-15      -2.217805735051e-16 
  576       3.296485179080e-10       1.719421715161e-12       3.432743317451e-12       0.000000000000e+00       4.418791153983e-14       1.626277085280e-15      -2.305462980280e-16 
  577       3.286341368451e-10       1.752213692846e-12       3.520014644365e-12       0.000000000000e+00       4.391172810687e-14       1.652951285085e-15      -2.392354506065e-16 
  578       3.276030891824e-10       1.785501996535e-12       3.603367121876e-12       0.000000000000e+00       4.363766776856e-14       1.679918149043e-15      -2.478484283344e-16 
  579       3.265559821291e-10       1.819276349142e-12       3.682711357992e-12       0.000000000000e+00       4.336569678811e-14       1.707158926309e-15      -2.563856462072e-16 
  580       3.254934322172e-10       1.853526292638e-12       3.757957186837e-12       0.000000000000e+00       4.309578054921e-14       1.734654586986e-15      -2.648475372195e-16 
  581       3.244160653419e-10       1.888241187226e-12       3.829013666007e-12       0.000000000000e+00       4.282788355152e-14       1.762385820895e-15      -2.732345524630e-16 
  582       3.233245168024e-10       1.923410210519e-12       3.895789073922e-12       0.000000000000e+00       4.256196940613e-14       1.790333036356e-15      -2.815471612250e-16 
  583       3.222194074530e-10       1.959022175684e-12       3.958204993837e-12       0.000000000000e+00       4.229800630109e-14       1.818479287792e-15      -2.897856228171e-16 
  584       3.211012714166e-10       1.995064982573e-12       4.016238957770e-12       0.000000000000e+00       4.203598355725e-14       1.846819141380e-15      -2.979492956018e-16 
  585       3.199706266454e-10       2.031526151250e-12       4.069882862657e-12       0.000000000000e+00       4.177589547703e-14       1.875350028457e-15      -3.060373108977e-16 
  586       3.188279986803e-10       2.068393000888e-12       4.119128982423e-12       0.000000000000e+00       4.151773590921e-14       1.904069336549e-15      -3.140487997046e-16 
  587       3.176739206826e-10       2.105652648878e-12       4.163969970292e-12       0.000000000000e+00       4.126149824629e-14       1.932974409172e-15      -3.219828927203e-16 
  588       3.165089334671e-10       2.143292009938e-12       4.204398861111e-12       0.000000000000e+00       4.100717542187e-14       1.962062545646e-15      -3.298387203585e-16 
  589       3.153335855338e-10       2.181297795224e-12       4.240409073669e-12       0.000000000000e+00       4.075475990807e-14       1.991331000899e-15      -3.376154127668e-16 
  590       3.141484331005e-10       2.219656511440e-12       4.271994413012e-12       0.000000000000e+00       4.050424371290e-14       2.020776985281e-15      -3.453120998432e-16 
  591       3.129540401350e-10       2.258354459946e-12       4.299149072764e-12       0.000000000000e+00       4.025561837765e-14       2.050397664363e-15      -3.529279112548e-16 
  592       3.117509783877e-10       2.297377735873e-12       4.321867637449e-12       0.000000000000e+00       4.000887497427e-14       2.080190158754e-15      -3.604619764547e-16 
  593       3.105398274237e-10       2.336712227225e-12       4.340145084802e-12       0.000000000000e+00       3.976400410280e-14       2.110151543906e-15      -3.679134246997e-16 
  594       3.093211746552e-10       2.376343613996e-12       4.353976788096e-12       0.000000000000e+00       3.952099588870e-14       2.140278849920e-15      -3.752813850681e-16 
  595       3.080956153738e-10       2.416257367277e-12       4.363358518456e-12       0.000000000000e+00       3.927983998030e-14       2.170569061360e-15      -3.825649864768e-16 
  596       3.068637527829e-10       2.456438748365e-12       4.368286447177e-12       0.000000000000e+00       3.904052554613e-14       2.201019117054e-15      -3.897633576995e-16 
  597       3.056261980301e-10       2.496872807876e-12       4.368757148049e-12       0.000000000000e+00       3.880304127238e-14       2.231625909908e-15      -3.968756273837e-16 
  598       3.043835702391e-10       2.537544384850e-12       4.364767599666e-12       0.000000000000e+00       3.856737536022e-14       2.262386286712e-15      -4.039009240685e-16 
  599       3.031364965427e-10       2.578438105866e-12       4.356315187756e-12       0.000000000000e+00       3.833351552323e-14       2.293297047947e-15      -4.108383762023e-16 
  600       3.018856121147e-10       2.619538384149e-12       4.343397707489e-12       0.000000000000e+00       3.810144898478e-14       2.324354947598e-15      -4.176871121600e-16 
  601       3.006315602022e-10       2.660829418681e-12       4.326013365803e-12       0.000000000000e+00       3.787116247541e-14       2.355556692956e-15      -4.244462602611e-16 
  602       2.993749921582e-10       2.702295193311e-12       4.304160783721e-12       0.000000000000e+00       3.764264223025e-14       2.386898944430e-15      -4.311149487868e-16 
  603       2.981165674739e-10       2.743919475862e-12       4.277838998670e-12       0.000000000000e+00       3.741587398636e-14       2.418378315355e-15      -4.376923059977e-16 
  604       2.968569538105e-10       2.785685817247e-12       4.247047466795e-12       0.000000000000e+00       3.719084298017e-14       2.449991371799e-15      -4.441774601515e-16 
  605       2.955968270325e-10       2.827577550572e-12       4.211786065288e-12       0.000000000000e+00       3.696753394484e-14       2.481734632374e-15      -4.505695395205e-16 
  606       2.943368712392e-10       2.869577790251e-12       4.172055094695e-12       0.000000000000e+00       3.674593110765e-14       2.513604568040e-15      -4.568676724091e-16 
  607       2.930777787972e-10       2.911669431114e-12       4.127855281244e-12       0.000000000000e+00       3.652601818743e-14       2.545597601916e-15      -4.630709871713e-16 
  608       2.918202503732e-10       2.953835147517e-12       4.079187779159e-12       0.000000000000e+00       3.630777839186e-14       2.577710109088e-15      -4.691786122287e-16 
  609       2.905649949657e-10       2.996057392450e-12       4.026054172980e-12       0.000000000000e+00       3.609119441498e-14       2.609938416419e-15      -4.751896760874e-16 
  610       2.893127299378e-10       3.038318396651e-12       3.968456479882e-12       0.000000000000e+00       3.587624843446e-14       2.642278802352e-15      -4.811033073562e-16 
  611       2.880641810493e-10       3.080600167714e-12       3.906397151993e-12       0.000000000000e+00       3.566292210907e-14       2.674727496724e-15      -4.869186347638e-16 
  612       2.868200824890e-10       3.122884489196e-12       3.839879078714e-12       0.000000000000e+00       3.545119657606e-14       2.707280680571e-15      -4.926347871764e-16 
  613       2.855811769074e-10       3.165152919733e-12       3.768905589038e-12       0.000000000000e+00       3.524105244851e-14       2.739934485937e-15      -4.982508936154e-16 
  614       2.843482154484e-10       3.207386792144e-12       3.693480453865e-12       0.000000000000e+00       3.503246981276e-14       2.772684995682e-15      -5.037660832749e-16 
  615       2.831219577821e-10       3.249567212543e-12       3.613607888326e-12       0.000000000000e+00       3.482542822577e-14       2.805528243292e-15      -5.091794855393e-16 
  616       2.819031721373e-10       3.291675059451e-12       3.529292554099e-12       0.000000000000e+00       3.461990671254e-14       2.838460212685e-15      -5.144902300008e-16 
  617       2.806926353332e-10       3.333690982904e-12       3.440539561728e-12       0.000000000000e+00       3.441588376346e-14       2.871476838020e-15      -5.196974464770e-16 
  618       2.794911328123e-10       3.375595403562e-12       3.347354472942e-12       0.000000000000e+00       3.421333733176e-14       2.904574003506e-15      -5.248002650285e-16 
  619       2.782994586724e-10       3.417368511820e-12       3.249743302974e-12       0.000000000000e+00       3.401224483083e-14       2.937747543208e-15      -5.297978159765e-16 
  620       2.771184156991e-10       3.458990266919e-12       3.147712522878e-12       0.000000000000e+00       3.381258313165e-14       2.970993240860e-15      -5.346892299202e-16 
  621       2.759488153981e-10       3.500440396053e-12       3.041269061852e-12       0.000000000000e+00       3.361432856019e-14       3.004306829667e-15      -5.394736377546e-16 
  622       2.747913972457e-10       3.541699854247e-12       2.930428191701e-12       0.000000000000e+00       3.341746033385e-14       3.037683125961e-15      -5.441504269242e-16 
  623       2.736465842978e-10       3.582755243330e-12       2.815237378365e-12       0.000000000000e+00       3.322197096472e-14       3.071113408259e-15      -5.487200167412e-16 
  624       2.725147219199e-10       3.623594494716e-12       2.695752993708e-12       0.000000000000e+00       3.302785609487e-14       3.104587976427e-15      -5.531831012641e-16 
  625       2.713961580579e-10       3.664205417577e-12       2.572032488697e-12       0.000000000000e+00       3.283511107779e-14       3.138097011821e-15      -5.575403948023e-16 
  626       2.702912432454e-10       3.704575698400e-12       2.444134398161e-12       0.000000000000e+00       3.264373097685e-14       3.171630576826e-15      -5.617926320132e-16 
  627       2.692003306111e-10       3.744692900554e-12       2.312118345550e-12       0.000000000000e+00       3.245371056375e-14       3.205178614401e-15      -5.659405679989e-16 
  628       2.681237758861e-10       3.784544463850e-12       2.176045047697e-12       0.000000000000e+00       3.226504431697e-14       3.238730947610e-15      -5.699849784030e-16 
  629       2.670619374113e-10       3.824117704102e-12       2.035976319575e-12       0.000000000000e+00       3.207772642023e-14       3.272277279170e-15      -5.739266595081e-16 
  630       2.660151761445e-10       3.863399812692e-12       1.891975079056e-12       0.000000000000e+00       3.189175076094e-14       3.305807190989e-15      -5.777664283319e-16 
  631       2.649838556677e-10       3.902377856132e-12       1.744105351677e-12       0.000000000000e+00       3.170711092864e-14       3.339310143704e-15      -5.815051227247e-16 
  632       2.639683421948e-10       3.941038775623e-12       1.592432275390e-12       0.000000000000e+00       3.152380021350e-14       3.372775476221e-15      -5.851436014662e-16 
  633       2.629690045786e-10       3.979369386622e-12       1.437022105331e-12       0.000000000000e+00       3.134181160473e-14       3.406192405258e-15      -5.886827443623e-16 
  634       2.619862143181e-10       4.017356378401e-12       1.277942218572e-12       0.000000000000e+00       3.116113778906e-14       3.439550024885e-15      -5.921234523421e-16 
  635       2.610203455659e-10       4.054986313608e-12       1.115261118885e-12       0.000000000000e+00       3.098177114917e-14       3.472837306058e-15      -5.954666475548e-16 
  636       2.600717751357e-10       4.092245627836e-12       9.490484415020e-13       0.000000000000e+00       3.080370376216e-14       3.506043096167e-15      -5.987132734667e-16 
  637       2.591408825093e-10       4.129120629176e-12       7.793749578724e-13       0.000000000000e+00       3.062692739803e-14       3.539156118570e-15      -6.018642949579e-16 
  638       2.582280498441e-10       4.165597497786e-12       6.063125804234e-13       0.000000000000e+00       3.045143351808e-14       3.572164972138e-15      -6.049206984194e-16 
  639       2.573336619802e-10       4.201662285453e-12       4.299343673204e-13       0.000000000000e+00       3.027721327341e-14       3.605058130792e-15      -6.078834918502e-16 
  640       2.564581064481e-10       4.237300915150e-12       2.503145272256e-13       0.000000000000e+00       3.010425750336e-14       3.637823943040e-15      -6.107537049537e-16 
  641       2.556017734757e-10       4.272499180604e-12       6.752842405877e-14       0.000000000000e+00       2.993255673394e-14       3.670450631526e-15      -6.135323892351e-16 
  642       2.547650559959e-10       4.307242745856e-12      -1.183474182440e-13       0.000000000000e+00       2.976210117634e-14       3.702926292561e-15      -6.162206180981e-16 
  643       2.539483496534e-10       4.341517144822e-12      -3.072353109703e-13       0.000000000000e+00       2.959288072532e-14       3.735238895667e-15      -6.188194869417e-16 
  644       2.531520528127e-10       4.375307780857e-12      -4.990563958715e-13       0.000000000000e+00       2.942488495773e-14       3.767376283119e-15      -6.213301132576e-16 
  645       2.523765665648e-10       4.408599926317e-12      -6.937306404035e-13       0.000000000000e+00       2.925810313091e-14       3.799326169479e-15      -6.237536367265e-16 
  646       2.516222947350e-10       4.441378722121e-12      -8.911768329669e-13       0.000000000000e+00       2.909252418116e-14       3.831076141143e-15      -6.260912193154e-16 
  647       2.508896438899e-10       4.473629177315e-12      -1.091312578147e-12       0.000000000000e+00       2.892813672222e-14       3.862613655876e-15      -6.283440453745e-16 
  648       2.501790233449e-10       4.505336168630e-12      -1.294054291955e-12       0.000000000000e+00       2.876492904370e-14       3.893926042355e-15      -6.305133217340e-16 
  649       2.494908451713e-10       4.536484440047e-12      -1.499317197068e-12       0.000000000000e+00       2.860288910954e-14       3.925000499707e-15      -6.326002778011e-16 
  650       2.488255242039e-10       4.567058602361e-12      -1.707015318067e-12       0.000000000000e+00       2.844200455645e-14       3.955824097050e-15      -6.346061656568e-16 
  651       2.481834780481e-10       4.597043132741e-12      -1.917061476683e-12       0.000000000000e+00       2.828226269239e-14       3.986383773033e-15      -6.365322601529e-16 
  652       2.475651270874e-10       4.626422374291e-12      -2.129367287030e-12       0.000000000000e+00       2.812365049503e-14       4.016666335376e-15      -6.383798590091e-16 
  653       2.469708944904e-10       4.655180535616e-12      -2.343843150853e-12       0.000000000000e+00       2.796615461016e-14       4.046658460410e-15      -6.401502829096e-16 
  654       2.464012062184e-10       4.683301690381e-12      -2.560398252760e-12       0.000000000000e+00       2.780976135019e-14       4.076346692618e-15      -6.418448756002e-16 
  655       2.458564910329e-10       4.710769776875e-12      -2.778940555470e-12       0.000000000000e+00       2.765445669259e-14       4.105717444171e-15      -6.434650039850e-16 
  656       2.453371805024e-10       4.737568597572e-12      -2.999376795048e-12       0.000000000000e+00       2.750022627833e-14       4.134756994475e-15      -6.450120582239e-16 
  657       2.448437090099e-10       4.763681818695e-12      -3.221612476150e-12       0.000000000000e+00       2.734705541036e-14       4.163451489705e-15      -6.464874518287e-16 
  658       2.443765137606e-10       4.789092969776e-12      -3.445551867258e-12       0.000000000000e+00       2.719492905204e-14       4.191786942347e-15      -6.478926217608e-16 
  659       2.439360347887e-10       4.813785443221e-12      -3.671097995924e-12       0.000000000000e+00       2.704383182561e-14       4.219749230738e-15      -6.492290285274e-16 
  660       2.435227149649e-10       4.837742493870e-12      -3.898152644011e-12       0.000000000000e+00       2.689374801065e-14       4.247324098608e-15      -6.504981562790e-16 
  661       2.431369180361e-10       4.860949522986e-12      -4.126619270704e-12       0.000000000000e+00       2.674466375161e-14       4.274499824722e-15      -6.517011799955e-16 
  662       2.427786807454e-10       4.883400986395e-12      -4.356411861948e-12       0.000000000000e+00       2.659657373704e-14       4.301275297364e-15      -6.528379587930e-16 
  663       2.424479552604e-10       4.905093637817e-12      -4.587446266743e-12       0.000000000000e+00       2.644947466458e-14       4.327652117004e-15      -6.539080206092e-16 
  664       2.421446906304e-10       4.926024258421e-12      -4.819637283092e-12       0.000000000000e+00       2.630336304431e-14       4.353631942582e-15      -6.549108931098e-16 
  665       2.418688327720e-10       4.946189657014e-12      -5.052898654043e-12       0.000000000000e+00       2.615823519778e-14       4.379216491784e-15      -6.558461036941e-16 
  666       2.416203244532e-10       4.965586670233e-12      -5.287143063730e-12       0.000000000000e+00       2.601408725707e-14       4.404407541310e-15      -6.567131795003e-16 
  667       2.413991052789e-10       4.984212162727e-12      -5.522282133423e-12       0.000000000000e+00       2.587091516386e-14       4.429206927152e-15      -6.575116474115e-16 
  668       2.412051116751e-10       5.002063027352e-12      -5.758226417561e-12       0.000000000000e+00       2.572871466849e-14       4.453616544862e-15      -6.582410340611e-16 
  669       2.410382768743e-10       5.019136185358e-12      -5.994885399806e-12       0.000000000000e+00       2.558748132901e-14       4.477638349824e-15      -6.589008658387e-16 
  670       2.408985308999e-10       5.035428586575e-12      -6.232167489078e-12       0.000000000000e+00       2.544721051027e-14       4.501274357531e-15      -6.594906688952e-16 
  671       2.407858005514e-10       5.050937209604e-12      -6.469980015602e-12       0.000000000000e+00       2.530789738294e-14       4.524526643851e-15      -6.600099691491e-16 
  672       2.407000093889e-10       5.065659062009e-12      -6.708229226953e-12       0.000000000000e+00       2.516953692260e-14       4.547397345304e-15      -6.604582922914e-16 
  673       2.406410777183e-10       5.079591180497e-12      -6.946820284093e-12       0.000000000000e+00       2.503212390877e-14       4.569888659331e-15      -6.608351637918e-16 
  674       2.406089225756e-10       5.092730631116e-12      -7.185657257420e-12       0.000000000000e+00       2.489565292402e-14       4.592002844569e-15      -6.611401089042e-16 
  675       2.406034577126e-10       5.105074509439e-12      -7.424643122812e-12       0.000000000000e+00       2.476011835297e-14       4.613742221122e-15      -6.613726526721e-16 
  676       2.406245935807e-10       5.116619940752e-12      -7.663679757662e-12       0.000000000000e+00       2.462551438142e-14       4.635109170833e-15      -6.615323199343e-16 
  677       2.406722373166e-10       5.127364080245e-12      -7.902667936932e-12       0.000000000000e+00       2.449183499533e-14       4.656106137558e-15      -6.616186353308e-16 
  678       2.407462927266e-10       5.137304113201e-12      -8.141507329188e-12       0.000000000000e+00       2.435907397994e-14       4.676735627434e-15      -6.616311233081e-16 
  679       2.408466602719e-10       5.146437255182e-12      -8.380096492647e-12       0.000000000000e+00       2.422722491883e-14       4.697000209156e-15      -6.615693081247e-16 
  680       2.409732370529e-10       5.154760752221e-12      -8.618332871220e-12       0.000000000000e+00       2.409628119294e-14       4.716902514249e-15      -6.614327138574e-16 
  681       2.411259167944e-10       5.162271881009e-12      -8.856112790555e-12       0.000000000000e+00       2.396623597966e-14       4.736445237335e-15      -6.612208644062e-16 
  682       2.413045898304e-10       5.168967949082e-12      -9.093331454079e-12       0.000000000000e+00       2.383708225189e-14       4.755631136411e-15      -6.609332835002e-16 
  683       2.415091430889e-10       5.174846295014e-12      -9.329882939042e-12       0.000000000000e+00       2.370881277708e-14       4.774463033120e-15      -6.605694947033e-16 
  684       2.417394600766e-10       5.179904288602e-12      -9.565660192563e-12       0.000000000000e+00       2.358142011632e-14       4.792943813022e-15      -6.601290214197e-16 
  685       2.419954208641e-10       5.184139331056e-12      -9.800555027668e-12       0.000000000000e+00       2.345489662338e-14       4.811076425865e-15      -6.596113868996e-16 
  686       2.422769020704e-10       5.187548855190e-12      -1.003445811934e-11       0.000000000000e+00       2.332923444377e-14       4.828863885861e-15      -6.590161142448e-16 
  687       2.425837768476e-10       5.190130325606e-12      -1.026725900054e-11       0.000000000000e+00       2.320442551381e-14       4.846309271956e-15      -6.583427264143e-16 
  688       2.429159148665e-10       5.191881238885e-12      -1.049884605831e-11       0.000000000000e+00       2.308046155970e-14       4.863415728102e-15      -6.575907462299e-16 
  689       2.432731823004e-10       5.192799123780e-12      -1.072910652972e-11       0.000000000000e+00       2.295733409655e-14       4.880186463530e-15      -6.567596963819e-16 
  690       2.436554418108e-10       5.192881541396e-12      -1.095792649802e-11       0.000000000000e+00       2.283503442746e-14       4.896624753023e-15      -6.558490994348e-16 
  691       2.440625525318e-10       5.192126085386e-12      -1.118519088858e-11       0.000000000000e+00       2.271355364258e-14       4.912733937185e-15      -6.548584778325e-16 
  692       2.444943700550e-10       5.190530382137e-12      -1.141078346502e-11       0.000000000000e+00       2.259288261817e-14       4.928517422719e-15      -6.537873539046e-16 
  693       2.449507464145e-10       5.188092090959e-12      -1.163458682519e-11       0.000000000000e+00       2.247301201566e-14       4.943978682693e-15      -6.526352498715e-16 
  694       2.454315300715e-10       5.184808904274e-12      -1.185648239726e-11       0.000000000000e+00       2.235393228071e-14       4.959121256817e-15      -6.514016878500e-16 
  695       2.459365658993e-10       5.180678547803e-12      -1.207635043573e-11       0.000000000000e+00       2.223563364227e-14       4.973948751713e-15      -6.500861898593e-16 
  696       2.464656951680e-10       5.175698780757e-12      -1.229407001748e-11       0.000000000000e+00       2.211810611163e-14       4.988464841186e-15      -6.486882778265e-16 
  697       2.470187555297e-10       5.169867396027e-12      -1.250951903784e-11       0.000000000000e+00       2.200133948149e-14       5.002673266501e-15      -6.472074735919e-16 
  698       2.475955810028e-10       5.163182220367e-12      -1.272257420658e-11       0.000000000000e+00       2.188532332505e-14       5.016577836650e-15      -6.456432989152e-16 
  699       2.481960019572e-10       5.155641114589e-12      -1.293311104401e-11       0.000000000000e+00       2.177004699501e-14       5.030182428628e-15      -6.439952754803e-16 
  700       2.488198105985e-10       5.147243674715e-12      -1.314101553334e-11       0.000000000000e+00       2.165550107424e-14       5.043490190767e-15      -6.422632207872e-16 
  701       2.494666566625e-10       5.137996373949e-12      -1.334621935219e-11       0.000000000000e+00       2.154168176270e-14       5.056501133994e-15      -6.404481425750e-16 
  702       2.501361495180e-10       5.127907528189e-12      -1.354866536716e-11       0.000000000000e+00       2.142858658004e-14       5.069214490936e-15      -6.385513630411e-16 
  703       2.508278924470e-10       5.116985605361e-12      -1.374829604279e-11       0.000000000000e+00       2.131621292172e-14       5.081629508393e-15      -6.365742247202e-16 
  704       2.515414826210e-10       5.105239226031e-12      -1.394505344052e-11       0.000000000000e+00       2.120455805839e-14       5.093745447412e-15      -6.345180905631e-16 
  705       2.522765110776e-10       5.092677164000e-12      -1.413887921753e-11       0.000000000000e+00       2.109361913539e-14       5.105561583366e-15      -6.323843440141e-16 
  706       2.530325626967e-10       5.079308346916e-12      -1.432971462564e-11       0.000000000000e+00       2.098339317205e-14       5.117077206030e-15      -6.301743890893e-16 
  707       2.538092161772e-10       5.065141856876e-12      -1.451750051024e-11       0.000000000000e+00       2.087387706123e-14       5.128291619662e-15      -6.278896504545e-16 
  708       2.546060440131e-10       5.050186931030e-12      -1.470217730915e-11       0.000000000000e+00       2.076506756863e-14       5.139204143073e-15      -6.255315735030e-16 
  709       2.554226124699e-10       5.034452962189e-12      -1.488368505152e-11       0.000000000000e+00       2.065696133226e-14       5.149814109715e-15      -6.231016244339e-16 
