# Matter power spectrum P(k) at redshift z=0
# for k=2.09641e-07 to 10.5177 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.096413626696e-07       1.567155463012e+02 
       2.639228388279e-07       1.077496792878e+02 
       3.322591685533e-07       1.609790199504e+02 
       4.182895105934e-07       2.701992927939e+03 
       5.265952943730e-07       6.343250066872e+03 
       6.629441978173e-07       2.497238434982e+02 
       8.345972972337e-07       4.405515626152e+01 
       1.050695746102e-06       5.374672473240e+01 
       1.322747574832e-06       3.729165911320e+01 
       1.665240535345e-06       1.284868612972e+01 
       2.096413626696e-06       4.979769776919e+01 
       2.639228388279e-06       2.985191601954e+01 
       3.322591685533e-06       4.669345484178e+01 
       4.182895105934e-06       3.321084223223e+01 
       5.265952943730e-06       3.748194859697e+01 
       6.629441978173e-06       3.975604181415e+01 
       8.345972972337e-06       4.386978147315e+01 
       1.050695746102e-05       4.553274575657e+01 
       1.322747574832e-05       5.855962675383e+01 
       1.665240535345e-05       7.289124083847e+01 
       2.096413626696e-05       9.236853589610e+01 
       2.639228388279e-05       1.155217960897e+02 
       3.322591685533e-05       1.447657562086e+02 
       4.182895105934e-05       1.810165802639e+02 
       5.265952943730e-05       2.261548654850e+02 
       6.629441978173e-05       2.824934851175e+02 
       8.345972972338e-05       3.526875208815e+02 
       1.050695746102e-04       4.404844709333e+02 
       1.322747574832e-04       5.503008867147e+02 
       1.665240535345e-04       6.872616196356e+02 
       2.096413626696e-04       8.581500581048e+02 
       2.639228388279e-04       1.071243401933e+03 
       3.322591685533e-04       1.336829290501e+03 
       4.182895105934e-04       1.667416129972e+03 
       5.265952943730e-04       2.078178712178e+03 
       6.629441978173e-04       2.587305969766e+03 
       8.345972972338e-04       3.216251208699e+03 
       1.050695746102e-03       3.989817384384e+03 
       1.322747574832e-03       4.934854810732e+03 
       1.665240535345e-03       6.080814619635e+03 
       2.096413626696e-03       7.455860485170e+03 
       2.639228388279e-03       9.082930168769e+03 
       3.322591685533e-03       1.097354895164e+04 
       4.182895105934e-03       1.311886396176e+04 
       5.265952943730e-03       1.547778884335e+04 
       6.629441978173e-03       1.794500083915e+04 
       8.345972972338e-03       2.037437646595e+04 
       1.050695746102e-02       2.254308008525e+04 
       1.322747574832e-02       2.413537520297e+04 
       1.665240535343e-02       2.476295077352e+04 
       2.096413609627e-02       2.404313146744e+04 
       2.639215465740e-02       2.179696235891e+04 
       3.320810985182e-02       1.836739376918e+04 
       4.123873045233e-02       1.493640006113e+04 
       4.800631690214e-02       1.297249409814e+04 
       5.291490530584e-02       1.200651319955e+04 
       5.696320337455e-02       1.140362322259e+04 
       6.057797191643e-02       1.094815925688e+04 
       6.394946855535e-02       1.054982129556e+04 
       6.717839874298e-02       1.016315047308e+04 
       7.032514807126e-02       9.763868288412e+03 
       7.342938253752e-02       9.340278140001e+03 
       7.651905782192e-02       8.889546074758e+03 
       7.961503122780e-02       8.415348041857e+03 
       8.273362449863e-02       7.926306319348e+03 
       8.588814242288e-02       7.434403118512e+03 
       8.908982018538e-02       6.953319955948e+03 
       9.234843965107e-02       6.496681977933e+03 
       9.567274436247e-02       6.076811980569e+03 
       9.907072708630e-02       5.703146056927e+03 
       1.025498337845e-01       5.381349051822e+03 
       1.061171110775e-01       5.112725967798e+03 
       1.097793144533e-01       4.893917493364e+03 
       1.135429885550e-01       4.717093258057e+03 
       1.174145271920e-01       4.570460129469e+03 
       1.214002183826e-01       4.439239187595e+03 
       1.255062782097e-01       4.307515300915e+03 
       1.297388762764e-01       4.160606938521e+03 
       1.341041548796e-01       3.987989888240e+03 
       1.386082435790e-01       3.785771081411e+03 
       1.432572705452e-01       3.558078489582e+03 
       1.480573718765e-01       3.316186355307e+03 
       1.530146999482e-01       3.076011417613e+03 
       1.581354317780e-01       2.853921528791e+03 
       1.634257783434e-01       2.663552671233e+03 
       1.688919957514e-01       2.510649204092e+03 
       1.745403991458e-01       2.393150331372e+03 
       1.803773802205e-01       2.301709791324e+03 
       1.864094292000e-01       2.220924700481e+03 
       1.926431621444e-01       2.134576257717e+03 
       1.990853544376e-01       2.030158494374e+03 
       2.057429813329e-01       1.905911578602e+03 
       2.126232664610e-01       1.770418495616e+03 
       2.197337392656e-01       1.638174159571e+03 
       2.270823024284e-01       1.522173401380e+03 
       2.346773104950e-01       1.429308441389e+03 
       2.425276611310e-01       1.357417991361e+03 
       2.506429007431e-01       1.296599500365e+03 
       2.590333466234e-01       1.234305921107e+03 
       2.677102283406e-01       1.162723075636e+03 
       2.766858518586e-01       1.083031366254e+03 
       2.859737908657e-01       1.004000863336e+03 
       2.955891111205e-01       9.351689173182e+02 
       3.055486353753e-01       8.794172114098e+02 
       3.158712587736e-01       8.318838067622e+02 
       3.265783277560e-01       7.847566078230e+02 
       3.376940997617e-01       7.337676680093e+02 
       3.492463068487e-01       6.815975972051e+02 
       3.612668544767e-01       6.338833292668e+02 
       3.737926981426e-01       5.930781162192e+02 
       3.868669569768e-01       5.560612154795e+02 
       4.005403473359e-01       5.188582617383e+02 
       4.148730549688e-01       4.813184443209e+02 
       4.299372181969e-01       4.462180566670e+02 
       4.458202780087e-01       4.145797858680e+02 
       4.626295834809e-01       3.846578478524e+02 
       4.804988571164e-01       3.549487347072e+02 
       4.995974881772e-01       3.265962636582e+02 
       5.201442543674e-01       3.002878441402e+02 
       5.424282149328e-01       2.746762041075e+02 
       5.668416750153e-01       2.498455400006e+02 
       5.939343975100e-01       2.261002238294e+02 
       6.245072064201e-01       2.027827934273e+02 
       6.597831560388e-01       1.799521554977e+02 
       7.017423682681e-01       1.571968092451e+02 
       7.538293271796e-01       1.342289914544e+02 
       8.225673879099e-01       1.105416717093e+02 
       9.213734086666e-01       8.567014569824e+01 
       1.077628226374e+00       5.998889473371e+01 
       1.326331848559e+00       3.713530194865e+01 
       1.666991488365e+00       2.170943788444e+01 
       2.098565628800e+00       1.253273896101e+01 
       2.641937404249e+00       7.171767259857e+00 
       3.326002134477e+00       4.067280221520e+00 
       4.187188606775e+00       2.284367970205e+00 
       5.271358141043e+00       1.269612471568e+00 
       6.636246718428e+00       6.981036019516e-01 
       8.354539632764e+00       3.801010307875e-01 
       1.051774224753e+01       2.054992090762e-01 
