# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 1.07687 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.512872824263e+01 
       1.321592908369e-05       5.654861391143e+01 
       1.663786896393e-05       7.243847325638e+01 
       2.094583603679e-05       9.322737429973e+01 
       2.636924525799e-05       1.147032757071e+02 
       3.319691294512e-05       1.437170539091e+02 
       4.179243729973e-05       1.791605549238e+02 
       5.261356133744e-05       2.242879746065e+02 
       6.623654937270e-05       2.803632130966e+02 
       8.338687519485e-05       3.501309394998e+02 
       1.049778561929e-04       4.373398308128e+02 
       1.321592908369e-04       5.461964951245e+02 
       1.663786896393e-04       6.820661497883e+02 
       2.094583603679e-04       8.516412953663e+02 
       2.636924525799e-04       1.063205837978e+03 
       3.319691294512e-04       1.326846352535e+03 
       4.179243729973e-04       1.655074614668e+03 
       5.261356133744e-04       2.062968652238e+03 
       6.623654937270e-04       2.568622450580e+03 
       8.338687519485e-04       3.193351529568e+03 
       1.049778561929e-03       3.961679100326e+03 
       1.321592908369e-03       4.900752304009e+03 
       1.663786896393e-03       6.038670104156e+03 
       2.094583603679e-03       7.402135721770e+03 
       2.636924525799e-03       9.011768062732e+03 
       3.319691294512e-03       1.087611774726e+04 
       4.179243729973e-03       1.298328772663e+04 
       5.261356133744e-03       1.528994083505e+04 
       6.623654937270e-03       1.770728492255e+04 
       8.338687519485e-03       2.008616391738e+04 
       1.049778561929e-02       2.220137072554e+04 
       1.321592908369e-02       2.374469728357e+04 
       1.663786896390e-02       2.434305254610e+04 
       2.094583587082e-02       2.362855750858e+04 
       2.636911872837e-02       2.142980902895e+04 
       3.317937869056e-02       1.807940521007e+04 
       4.120829406624e-02       1.472544324802e+04 
       4.798444742424e-02       1.280465899887e+04 
       5.289746506074e-02       1.186333035576e+04 
       5.694780992335e-02       1.127846232980e+04 
       6.056364813182e-02       1.083823941276e+04 
       6.393573213032e-02       1.045387698069e+04 
       6.716497467566e-02       1.008056562377e+04 
       7.031186225901e-02       9.694247434981e+03 
       7.341611559804e-02       9.283241920549e+03 
       7.650572248419e-02       8.844518813886e+03 
       7.960156020378e-02       8.381573746086e+03 
       8.271996349867e-02       7.902801035546e+03 
       8.587424589942e-02       7.419954828152e+03 
       8.907564861756e-02       6.946572686827e+03 
       9.233395774559e-02       6.496332544344e+03 
       9.565791982369e-02       6.081541043355e+03 
       9.905552975330e-02       5.711808463201e+03 
       1.025342350127e-01       5.393014867159e+03 
       1.061010832874e-01       5.126738996057e+03 
       1.097628307978e-01       4.909945291224e+03 
       1.135260226708e-01       4.735081951464e+03 
       1.173970530133e-01       4.590573226066e+03 
       1.213822100006e-01       4.461835095437e+03 
       1.254877097673e-01       4.332958265627e+03 
       1.297197218884e-01       4.189169547113e+03 
       1.340843885724e-01       4.019678404693e+03 
       1.385878392441e-01       3.820275524974e+03 
       1.432362019019e-01       3.594678447232e+03 
       1.480356124401e-01       3.353943340426e+03 
       1.529922229991e-01       3.113896522005e+03 
       1.581122103294e-01       2.891226478209e+03 
       1.634017851034e-01       2.699315167814e+03 
       1.688672030761e-01       2.544863141818e+03 
       1.745147789810e-01       2.426196256557e+03 
       1.803509040273e-01       2.333597233665e+03 
       1.863820678626e-01       2.252581646317e+03 
       1.926148858558e-01       2.166222750703e+03 
       1.990561325600e-01       2.061839484744e+03 
       2.057127822296e-01       1.937334198620e+03 
       2.125920572962e-01       1.800901029744e+03 
       2.197014857678e-01       1.666820776128e+03 
       2.270489686135e-01       1.548737390167e+03 
       2.346428583438e-01       1.453829412375e+03 
       2.424920502145e-01       1.380180164353e+03 
       2.506060877896e-01       1.318037490587e+03 
       2.589952850160e-01       1.254847931837e+03 
       2.676708675354e-01       1.182286890446e+03 
       2.766451367073e-01       1.101263049133e+03 
       2.859316608238e-01       1.020605942887e+03 
       2.955454993155e-01       9.499484052436e+02 
       3.055034675027e-01       8.925561213719e+02 
       3.158244517782e-01       8.437321538846e+02 
       3.265297882407e-01       7.954896748824e+02 
       3.376437220498e-01       7.434362113879e+02 
       3.491939705992e-01       6.899935689650e+02 
       3.612124217144e-01       6.409621242713e+02 
       3.737360095167e-01       5.989420821297e+02 
       3.868078269858e-01       5.609443066782e+02 
       4.004785581499e-01       5.228309567045e+02 
       4.148083483167e-01       4.844003162199e+02 
       4.298692845408e-01       4.483822519666e+02 
       4.457487418382e-01       4.159421379067e+02 
       4.625539829387e-01       3.853388342873e+02 
       4.804186151397e-01       3.550030143599e+02 
       4.995118705875e-01       3.260496153767e+02 
       5.200523072474e-01       2.992394662075e+02 
       5.423286679377e-01       2.732070041117e+02 
       5.667327863085e-01       2.480033135294e+02 
       5.938136937877e-01       2.239671450662e+02 
       6.243710236877e-01       2.004406234468e+02 
       6.596257769879e-01       1.774783016639e+02 
       7.015542815944e-01       1.546863529888e+02 
       7.535934250155e-01       1.317857799991e+02 
       8.222500464495e-01       1.082907792790e+02 
       9.209038690122e-01       8.376143085191e+01 
       1.076873221064e+00       5.856437299694e+01 
