# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.04821e-05 to 104.929 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.048206813348e-04      -9.827364181203e-05      -4.830925361027e-06       2.745836815139e+06      -1.967388458478e-02      -3.059415186421e+00       2.745837478703e+06      -2.745837496473e+06      -3.051760679473e+00       4.396796557355e+02 
       1.319614194140e-04      -1.944777348661e-04      -9.562204701064e-06       2.745836813503e+06      -1.268359404278e-02      -3.055991500540e+00       2.745837468285e+06      -2.745837496433e+06      -3.052532902955e+00       5.491159781328e+02 
       1.661295842767e-04      -3.847659384673e-04      -1.892369347917e-05       2.745836810871e+06      -8.886819967290e-03      -3.054084069758e+00       2.745837451800e+06      -2.745837496395e+06      -3.054050147880e+00       6.856649457016e+02 
       2.091447552967e-04      -7.611671920578e-04      -3.744932954674e-05       2.745836806687e+06      -7.092683380921e-03      -3.052940578051e+00       2.745837425693e+06      -2.745837496350e+06      -3.057039274709e+00       8.561504567312e+02 
       2.632976471865e-04      -1.505278188929e-03      -7.409325343259e-05       2.745836800026e+06      -6.831036033143e-03      -3.052222260624e+00       2.745837384336e+06      -2.745837496288e+06      -3.062934789402e+00       1.068771116461e+03 
       3.314720989087e-04      -2.975426276078e-03      -1.465428387643e-04       2.745836789449e+06      -8.036438669828e-03      -3.051756733926e+00       2.745837318812e+06      -2.745837496187e+06      -3.074568687416e+00       1.333738368306e+03 
       4.172986486169e-04      -5.877445714814e-03      -2.896871490128e-04       2.745836772656e+06      -1.100012934048e-02      -3.051451170178e+00       2.745837215003e+06      -2.745837496000e+06      -3.097523740914e+00       1.663547775139e+03 
       5.253478730511e-04      -1.159853334278e-02      -5.722180229138e-04       2.745836746002e+06      -1.635971747829e-02      -3.051243128618e+00       2.745837050540e+06      -2.745837495614e+06      -3.142783309918e+00       2.073325974392e+03 
       6.613737874161e-04      -2.285682138809e-02      -1.129047474051e-03       2.745836703717e+06      -2.523077059135e-02      -3.051134438353e+00       2.745836790008e+06      -2.745837494758e+06      -3.231896843893e+00       2.581179910072e+03 
       8.326202676727e-04      -4.495735758412e-02      -2.224287754214e-03       2.745836636656e+06      -3.944527503931e-02      -3.051451306984e+00       2.745836377366e+06      -2.745837492774e+06      -3.406990217065e+00       3.208463327185e+03 
       1.048206813348e-03      -8.820000339447e-02      -4.372758972091e-03       2.745836530335e+06      -6.185905111508e-02      -3.052056113907e+00       2.745835723995e+06      -2.745837488088e+06      -3.750008009918e+00       3.979804351655e+03 
       1.319614194140e-03      -1.724412422631e-01      -8.572145778043e-03       2.745836361831e+06      -9.677427022194e-02      -3.053404126839e+00       2.745834689948e+06      -2.745837476941e+06      -4.419281741697e+00       4.922615135895e+03 
       1.661295842767e-03      -3.355921261834e-01      -1.674048451308e-02       2.745836094891e+06      -1.504182394004e-01      -3.056631762119e+00       2.745833054650e+06      -2.745837450480e+06      -5.717900308186e+00       6.065612537692e+03 
       2.091447552967e-03      -6.491623317326e-01      -3.252905798753e-02       2.745835672254e+06      -2.312171155586e-01      -3.064545102143e+00       2.745830471474e+06      -2.745837388128e+06      -8.219299419434e+00       7.436673928806e+03 
       2.632976471865e-03      -1.245842151563e+00      -6.279712648496e-02       2.745835003633e+06      -3.491074242635e-01      -3.084048224546e+00       2.745826398179e+06      -2.745837242930e+06      -1.299126229593e+01       9.058332108044e+03 
       3.314720989087e-03      -2.366708117487e+00      -1.202169201569e-01       2.745833947031e+06      -5.119370766670e-01      -3.131953865386e+00       2.745819992284e+06      -2.745836910088e+06      -2.198175984559e+01       1.094148979173e+04 
       4.172986486169e-03      -4.437867766714e+00      -2.277065902199e-01       2.745832279916e+06      -7.143563864399e-01      -3.248561777986e+00       2.745809958131e+06      -2.745836162080e+06      -3.865100140334e+01       1.307648857355e+04 
       5.253478730511e-03      -8.185511968650e+00      -4.255960884383e-01       2.745829655222e+06      -9.091437911444e-01      -3.528373466159e+00       2.745794333144e+06      -2.745834521705e+06      -6.893394963698e+01       1.542134305124e+04 
       6.613737874161e-03      -1.478749617908e+01      -7.823774393261e-01       2.745825535052e+06      -9.407456083113e-01      -4.186541230367e+00       2.745770210571e+06      -2.745831030547e+06      -1.225462741096e+02       1.788784441974e+04 
       8.326202676727e-03      -2.601964330132e+01      -1.408749345085e+00       2.745819092249e+06      -4.047146797627e-01      -5.693937031348e+00       2.745733425852e+06      -2.745823867376e+06      -2.143695155838e+02       2.032389644535e+04 
       1.048206813348e-02      -4.427410514757e+01      -2.471833459971e+00       2.745809066282e+06       1.620971889608e+00      -9.027884319225e+00       2.745678299850e+06      -2.745809812281e+06      -3.651128754333e+02       2.250338795102e+04 
       1.319614194140e-02      -7.210794380508e+01      -4.196547994612e+00       2.745793554156e+06       7.022763353727e+00      -1.607474488395e+01       2.745597646104e+06      -2.745783698817e+06      -5.990289985149e+02       2.411073741115e+04 
       1.661295842764e-02      -1.107165705133e+02      -6.826812061911e+00       2.745769706908e+06       1.923503634814e+01      -3.011811471025e+01       2.745483381637e+06      -2.745738293548e+06      -9.351180683569e+02       2.475472654128e+04 
       2.091447537185e-02      -1.567296967600e+02      -1.051130391127e+01       2.745733285768e+06       4.362676038879e+01      -5.605149305691e+01       2.745328082761e+06      -2.745665342868e+06      -1.369278781292e+03       2.405446484558e+04 
       2.632964289617e-02      -1.980092898185e+02      -1.511988608618e+01       2.745678023161e+06       8.685684122636e+01      -9.950824932948e+01       2.745127371396e+06      -2.745558166162e+06      -1.853642999418e+03       2.182559329862e+04 
       3.313015540952e-02      -2.147323447980e+02      -2.022338256992e+01       2.745595010760e+06       1.542028226617e+02      -1.641414504038e+02       2.744882435448e+06      -2.745414456283e+06      -2.306987174688e+03       1.840538039617e+04 
       4.115648482541e-02      -1.991861031118e+02      -2.546319358945e+01       2.745479720224e+06       2.415720029773e+02      -2.446275578268e+02       2.744614880833e+06      -2.745244652590e+06      -2.683387034314e+03       1.496657974972e+04 
       4.794853901947e-02      -1.814679249171e+02      -3.003406967686e+01       2.745369653469e+06       3.176159415431e+02      -3.125349374427e+02       2.744409346421e+06      -2.745103819756e+06      -2.972713345811e+03       1.298773665171e+04 
       5.286991590372e-02      -1.752170140490e+02      -3.374453352348e+01       2.745283895881e+06       3.740104999086e+02      -3.619099642801e+02       2.744272779008e+06      -2.745004036836e+06      -3.198653223228e+03       1.201521786922e+04 
       5.692425044606e-02      -1.745851916384e+02      -3.705542129321e+01       2.745210017753e+06       4.217607869573e+02      -4.031547568575e+02       2.744168385558e+06      -2.744924015409e+06      -3.393856652733e+03       1.140874886150e+04 
       6.054228187972e-02      -1.753810790561e+02      -4.011187476755e+01       2.745141946252e+06       4.655142456929e+02      -4.405264861408e+02       2.744081677385e+06      -2.744854999486e+06      -3.566020752225e+03       1.095043512493e+04 
       6.391567100783e-02      -1.747242559469e+02      -4.293636408088e+01       2.745076878291e+06       5.071934031072e+02      -4.757636000887e+02       2.744006501755e+06      -2.744793310608e+06      -3.715238949463e+03       1.054971628435e+04 
       6.714571233786e-02      -1.703049635285e+02      -4.550560755374e+01       2.745013303391e+06       5.476491400723e+02      -5.096300519725e+02       2.743939759670e+06      -2.744737157553e+06      -3.839187890370e+03       1.016053854279e+04 
       7.029307887435e-02      -1.603533641183e+02      -4.778598147018e+01       2.744950307095e+06       5.872197084986e+02      -5.424316719300e+02       2.743879690204e+06      -2.744685569726e+06      -3.935547632378e+03       9.758738297096e+03 
       7.339759294285e-02      -1.437397599613e+02      -4.975220686075e+01       2.744887287969e+06       6.259633434510e+02      -5.742305215230e+02       2.743825196188e+06      -2.744637968900e+06      -4.003197470081e+03       9.333642261909e+03 
       7.648730228109e-02      -1.198777249607e+02      -5.139023951110e+01       2.744823826385e+06       6.637750668856e+02      -6.049514879269e+02       2.743775537082e+06      -2.744593971256e+06      -4.042208401722e+03       8.882768806318e+03 
       7.958312172264e-02      -8.866290213624e+01      -5.269841017131e+01       2.744759617194e+06       7.004561884671e+02      -6.344449728835e+02       2.743730170058e+06      -2.744553280456e+06      -4.053756009215e+03       8.408932607510e+03 
       8.270141062852e-02      -5.091915154908e+01      -5.370767107986e+01       2.744694432457e+06       7.357757156865e+02      -6.625410006225e+02       2.743688663637e+06      -2.744515627503e+06      -4.041463713197e+03       7.921229297754e+03 
       8.585549925407e-02      -8.114561085528e+00      -5.447188714914e+01       2.744628099536e+06       7.695104750934e+02      -6.890823415333e+02       2.743650654793e+06      -2.744480749301e+06      -4.010465612326e+03       7.431858443965e+03 
       8.905664048953e-02       3.778944264494e+01      -5.506307789092e+01       2.744560487442e+06       8.014807669720e+02      -7.139542304661e+02       2.743615819265e+06      -2.744448368994e+06      -3.966876142502e+03       6.954136651965e+03 
       9.231462875748e-02       8.438234829045e+01      -5.557153910064e+01       2.744491496774e+06       8.315985964606e+02      -7.371209813808e+02       2.743583864070e+06      -2.744418198074e+06      -3.917602937077e+03       6.501361691503e+03 
       9.563821663603e-02       1.291163477788e+02      -5.609416138583e+01       2.744421053377e+06       8.598654916104e+02      -7.586208074035e+02       2.743554525577e+06      -2.744389949592e+06      -3.869552181674e+03       6.085456030324e+03 
       9.903540345489e-02       1.695901424833e+02      -5.672471282562e+01       2.744349102261e+06       8.864049756275e+02      -7.785888845991e+02       2.743527572679e+06      -2.744363347603e+06      -3.828824477327e+03       5.715092883930e+03 
       1.025136399664e-01       2.037670447545e+02      -5.754582702571e+01       2.744275601068e+06       9.114502288389e+02      -7.972419959029e+02       2.743502822389e+06      -2.744338158925e+06      -3.800274565276e+03       5.395305384741e+03 
       1.060799762888e-01       2.301169006584e+02      -5.862332374457e+01       2.744200518412e+06       9.353241120845e+02      -8.148621972645e+02       2.743480135698e+06      -2.744314195926e+06      -3.787264464184e+03       5.127489791044e+03 
       1.097411704537e-01       2.483257372580e+02      -5.997927042259e+01       2.744123825342e+06       9.584115203560e+02      -8.317687591379e+02       2.743459443829e+06      -2.744291358914e+06      -3.790043167896e+03       4.907425500564e+03 
       1.135037689363e-01       2.590668893705e+02      -6.159928034528e+01       2.744045496378e+06       9.810999458800e+02      -8.482738258731e+02       2.743440733728e+06      -2.744269625303e+06      -3.806550921485e+03       4.727225504679e+03 
       1.173741668454e-01       2.642305662644e+02      -6.342318171308e+01       2.743965505024e+06       1.003735726523e+03      -8.646457337484e+02       2.743424058231e+06      -2.744249068911e+06      -3.832043829173e+03       4.575236524859e+03 
       1.213586530975e-01       2.669343806126e+02      -6.534247048374e+01       2.743883823933e+06       1.026531017943e+03      -8.810391110796e+02       2.743409519635e+06      -2.744229843195e+06      -3.859384206241e+03       4.437370534323e+03 
       1.254634443732e-01       2.712168323433e+02      -6.721142287758e+01       2.743800428273e+06       1.049559134807e+03      -8.974935867081e+02       2.743397253616e+06      -2.744212161447e+06      -3.879757706948e+03       4.298083310923e+03 
       1.296947106466e-01       2.811213040515e+02      -6.887813725822e+01       2.743715296754e+06       1.072656669136e+03      -9.138610113282e+02       2.743387402884e+06      -2.744196259982e+06      -3.884946033500e+03       4.144450552302e+03 
       1.340585944145e-01       3.000118983032e+02      -7.021058237693e+01       2.743628419166e+06       1.095495982208e+03      -9.298671580261e+02       2.743380092564e+06      -2.744182361669e+06      -3.868467109255e+03       3.967164679875e+03 
       1.385612253051e-01       3.294099191535e+02      -7.113778053086e+01       2.743539800347e+06       1.117568416944e+03      -9.451044943788e+02       2.743375399860e+06      -2.744170628357e+06      -3.827924024862e+03       3.764176981027e+03 
       1.432087314536e-01       3.686547381464e+02      -7.166515043712e+01       2.743449466595e+06       1.138329161223e+03      -9.591487130320e+02       2.743373338960e+06      -2.744161132224e+06      -3.765130358630e+03       3.540002469965e+03 
       1.480072488336e-01       4.147498837121e+02      -7.188112604733e+01       2.743357467985e+06       1.157243854249e+03      -9.715960262719e+02       2.743373853543e+06      -2.744153843832e+06      -3.686253932447e+03       3.305608974748e+03 
       1.529629296113e-01       4.627679815825e+02      -7.194791735320e+01       2.743263878266e+06       1.173986728575e+03      -9.822146357715e+02       2.743376827365e+06      -2.744148634465e+06      -3.600483357786e+03       3.075032332469e+03 
       1.580819505061e-01       5.068073003782e+02      -7.206739719215e+01       2.743168791089e+06       1.188425170358e+03      -9.909290179647e+02       2.743382103513e+06      -2.744145311812e+06      -3.518348668387e+03       2.863017578410e+03 
       1.633705220937e-01       5.416214086919e+02      -7.242773327918e+01       2.743072309918e+06       1.200760887555e+03      -9.979237143876e+02       2.743389527362e+06      -2.744143671359e+06      -3.448502232008e+03       2.679682572206e+03 
       1.688348999518e-01       5.641512706519e+02      -7.314622519619e+01       2.742974540258e+06       1.211373846432e+03      -1.003517567851e+03       2.743398969292e+06      -2.744143542986e+06      -3.395663535401e+03       2.529567410536e+03 
       1.744813985356e-01       5.751493472483e+02      -7.421218475585e+01       2.742875579001e+06       1.220794219488e+03      -1.008136957129e+03       2.743410359129e+06      -2.744144840441e+06      -3.358033539845e+03       2.408859733738e+03 
       1.803164086485e-01       5.783572995561e+02      -7.550825484278e+01       2.742775509093e+06       1.229442842355e+03      -1.012116900951e+03       2.743423688696e+06      -2.744147576035e+06      -3.329377079834e+03       2.308558485987e+03 
       1.863464193734e-01       5.799413330395e+02      -7.682883892889e+01       2.742674402626e+06       1.237587829772e+03      -1.015669027198e+03       2.743438996124e+06      -2.744151842089e+06      -3.300043865927e+03       2.215775096469e+03 
       1.925780453182e-01       5.865344304616e+02      -7.794165491479e+01       2.742572327250e+06       1.245127248312e+03      -1.018716133502e+03       2.743456333508e+06      -2.744157766888e+06      -3.260484411081e+03       2.118457835248e+03 
       1.990180600359e-01       6.029479677429e+02      -7.866956631163e+01       2.742469357724e+06       1.251749022682e+03      -1.021017890184e+03       2.743475731505e+06      -2.744165461379e+06      -3.204122868948e+03       2.008113604127e+03 
       2.056734364934e-01       6.278590272645e+02      -7.903741221616e+01       2.742365588592e+06       1.256966808189e+03      -1.022200110945e+03       2.743497158276e+06      -2.744174950594e+06      -3.133333065632e+03       1.886442522642e+03 
       2.125513954925e-01       6.568987873378e+02      -7.917671970113e+01       2.742261134780e+06       1.260406409192e+03      -1.021980417922e+03       2.743520529363e+06      -2.744186182890e+06      -3.054363112763e+03       1.760236190748e+03 
       2.196594630092e-01       6.832784833183e+02      -7.930856227210e+01       2.742156132226e+06       1.261916126198e+03      -1.020254356619e+03       2.743545707026e+06      -2.744199023684e+06      -2.976248971510e+03       1.640454673951e+03 
       2.270055375094e-01       7.033046231284e+02      -7.956192104402e+01       2.742050716234e+06       1.261605667752e+03      -1.017113236897e+03       2.743572555847e+06      -2.744213332333e+06      -2.903785124040e+03       1.533788277353e+03 
       2.345979684537e-01       7.159030518319e+02      -7.998537483191e+01       2.741945015228e+06       1.259756963310e+03      -1.012778802963e+03       2.743600945785e+06      -2.744228972294e+06      -2.838285804516e+03       1.442852361334e+03 
       2.424456474145e-01       7.227656901955e+02      -8.053252507355e+01       2.741839127478e+06       1.256643779909e+03      -1.007473337014e+03       2.743630793957e+06      -2.744245869785e+06      -2.777696184262e+03       1.364319682401e+03 
       2.505581135402e-01       7.268252888248e+02      -8.111160608850e+01       2.741733136254e+06       1.252467663734e+03      -1.001370432576e+03       2.743662034600e+06      -2.744263980973e+06      -2.718571953673e+03       1.292611797025e+03 
       2.589456755167e-01       7.316510094618e+02      -8.160123880377e+01       2.741627113132e+06       1.247243005599e+03      -9.945083777915e+02       2.743694622988e+06      -2.744283299813e+06      -2.656940389857e+03       1.221635810249e+03 
       2.676195527440e-01       7.391860583376e+02      -8.193141795958e+01       2.741521138081e+06       1.240888394656e+03      -9.868377243692e+02       2.743728503829e+06      -2.744303809758e+06      -2.590807848049e+03       1.148725495237e+03 
       2.765920392011e-01       7.491833386138e+02      -8.210344776972e+01       2.741415301052e+06       1.233254692878e+03      -9.782393659613e+02       2.743763605782e+06      -2.744325473719e+06      -2.520727944737e+03       1.075308423229e+03 
       2.858766944684e-01       7.589117873858e+02      -8.220387274876e+01       2.741309692313e+06       1.224296108654e+03      -9.686658187966e+02       2.743799843341e+06      -2.744348222470e+06      -2.449611573324e+03       1.004870427755e+03 
       2.954885676990e-01       7.652006528617e+02      -8.233716908318e+01       2.741204392324e+06       1.214048710136e+03      -9.581344381518e+02       2.743837123244e+06      -2.744371969548e+06      -2.380727543934e+03       9.409003831697e+02 
       3.054444620796e-01       7.681404185891e+02      -8.250574239594e+01       2.741099455730e+06       1.202636580336e+03      -9.467527551781e+02       2.743875369653e+06      -2.744396644444e+06      -2.314020594220e+03       8.829167760145e+02 
       3.157632496489e-01       7.689804051548e+02      -8.267324888543e+01       2.740994921439e+06       1.190158976204e+03      -9.346145843968e+02       2.743914515025e+06      -2.744422188416e+06      -2.248366860251e+03       8.291804417059e+02 
       3.264662494718e-01       7.695672244194e+02      -8.277999765716e+01       2.740890816045e+06       1.176631013863e+03      -9.217484187796e+02       2.743954505106e+06      -2.744448562515e+06      -2.182197214575e+03       7.774812808295e+02 
