# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 1.07687 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.509244510945e+01 
       1.321592908369e-05       5.659775892512e+01 
       1.663786896393e-05       7.241763405243e+01 
       2.094583603679e-05       9.321224430625e+01 
       2.636924525799e-05       1.146970539417e+02 
       3.319691294512e-05       1.435225295687e+02 
       4.179243729973e-05       1.792036693404e+02 
       5.261356133744e-05       2.242660704118e+02 
       6.623654937270e-05       2.803522903722e+02 
       8.338687519485e-05       3.501454833913e+02 
       1.049778561929e-04       4.373398001078e+02 
       1.321592908369e-04       5.461967852861e+02 
       1.663786896393e-04       6.820669122720e+02 
       2.094583603679e-04       8.516427152439e+02 
       2.636924525799e-04       1.063205965395e+03 
       3.319691294512e-04       1.326846205763e+03 
       4.179243729973e-04       1.655074242956e+03 
       5.261356133744e-04       2.062968009502e+03 
       6.623654937270e-04       2.568621141640e+03 
       8.338687519485e-04       3.193349107214e+03 
       1.049778561929e-03       3.961674414879e+03 
       1.321592908369e-03       4.900743210266e+03 
       1.663786896393e-03       6.038640897374e+03 
       2.094583603679e-03       7.402017660740e+03 
       2.636924525799e-03       9.011427742120e+03 
       3.319691294512e-03       1.087517101607e+04 
       4.179243729973e-03       1.298098220712e+04 
       5.261356133744e-03       1.528511436462e+04 
       6.623654937270e-03       1.769831604043e+04 
       8.338687519485e-03       2.007043789647e+04 
       1.049778561929e-02       2.217497966647e+04 
       1.321592908369e-02       2.370238897513e+04 
       1.663786896390e-02       2.427884681881e+04 
       2.094583587082e-02       2.353739293268e+04 
       2.636911872837e-02       2.131062970516e+04 
       3.317937869056e-02       1.793771239667e+04 
       4.120829406624e-02       1.457084564226e+04 
       4.798444742424e-02       1.264299741220e+04 
       5.289746506074e-02       1.169583974773e+04 
       5.694780992335e-02       1.110538734555e+04 
       6.056364813182e-02       1.065979988557e+04 
       6.393573213032e-02       1.027059702791e+04 
       6.716497467566e-02       9.893234977417e+03 
       7.031186225901e-02       9.503869635142e+03 
       7.341611559804e-02       9.091123894381e+03 
       7.650572248419e-02       8.652088718289e+03 
       7.960156020378e-02       8.190339862892e+03 
       8.271996349867e-02       7.714210831739e+03 
       8.587424589942e-02       7.235336454714e+03 
       8.907564861756e-02       6.766978508916e+03 
       9.233395774559e-02       6.322435096236e+03 
       9.565791982369e-02       5.913662739248e+03 
       9.905552975330e-02       5.549773809397e+03 
       1.025342350127e-01       5.236630106223e+03 
       1.061010832874e-01       4.974873798785e+03 
       1.097628307978e-01       4.761840948059e+03 
       1.135260226708e-01       4.589692788029e+03 
       1.173970530133e-01       4.447087934983e+03 
       1.213822100006e-01       4.319380439948e+03 
       1.254877097673e-01       4.191195322598e+03 
       1.297197218884e-01       4.048452170135e+03 
       1.340843885724e-01       3.880336829373e+03 
       1.385878392441e-01       3.684254689490e+03 
       1.432362019019e-01       3.463051821011e+03 
       1.480356124401e-01       3.227858117413e+03 
       1.529922229991e-01       2.994145351922e+03 
       1.581122103294e-01       2.778259416691e+03 
       1.634017851034e-01       2.592744075111e+03 
       1.688672030761e-01       2.444044133845e+03 
       1.745147789810e-01       2.329820385748e+03 
       1.803509040273e-01       2.240629718952e+03 
       1.863820678626e-01       2.162265205662e+03 
       1.926148858558e-01       2.078350996872e+03 
       1.990561325600e-01       1.976927050000e+03 
       2.057127822296e-01       1.856298060538e+03 
       2.125920572962e-01       1.724656091487e+03 
       2.197014857678e-01       1.595878939234e+03 
       2.270489686135e-01       1.482999175853e+03 
       2.346428583438e-01       1.392662900015e+03 
       2.424920502145e-01       1.322719703851e+03 
       2.506060877896e-01       1.263580400107e+03 
       2.589952850160e-01       1.203150063379e+03 
       2.676708675354e-01       1.133609216345e+03 
       2.766451367073e-01       1.056062548743e+03 
       2.859316608238e-01       9.792407750423e+02 
       2.955454993155e-01       9.122201449227e+02 
       3.055034675027e-01       8.579544145582e+02 
       3.158244517782e-01       8.117576166408e+02 
       3.265297882407e-01       7.659259463212e+02 
       3.376437220498e-01       7.163786940513e+02 
       3.491939705992e-01       6.655864659322e+02 
       3.612124217144e-01       6.191404097557e+02 
       3.737360095167e-01       5.794016742459e+02 
       3.868078269858e-01       5.434576562032e+02 
       4.004785581499e-01       5.071919804900e+02 
       4.148083483167e-01       4.706601609557e+02 
       4.298692845408e-01       4.364654541653e+02 
       4.457487418382e-01       4.056614885677e+02 
       4.625539829387e-01       3.765267324509e+02 
       4.804186151397e-01       3.475898814745e+02 
       4.995118705875e-01       3.199619559237e+02 
       5.200523072474e-01       2.943284065079e+02 
       5.423286679377e-01       2.693684018538e+02 
       5.667327863085e-01       2.451526834960e+02 
       5.938136937877e-01       2.219916100935e+02 
       6.243710236877e-01       1.992405222470e+02 
       6.596257769879e-01       1.769559174577e+02 
       7.015542815944e-01       1.547371859834e+02 
       7.535934250155e-01       1.322967428295e+02 
       8.222500464495e-01       1.091344410268e+02 
       9.209038690122e-01       8.478068509710e+01 
       1.076873221064e+00       5.958991009554e+01 
