# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 5.26676 h/Mpc,
# number of wavenumbers equal to 119
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.696819972501e+01 
       1.321592908369e-05       5.810448540504e+01 
       1.663786896393e-05       7.405684202347e+01 
       2.094583603679e-05       9.453125795644e+01 
       2.636924525799e-05       1.159668567538e+02 
       3.319691294512e-05       1.439723099514e+02 
       4.179243729973e-05       1.800819485788e+02 
       5.261356133744e-05       2.242982654126e+02 
       6.623654937270e-05       2.802475733825e+02 
       8.338687519485e-05       3.500164124843e+02 
       1.049778561929e-04       4.372704792405e+02 
       1.321592908369e-04       5.461291286633e+02 
       1.663786896393e-04       6.820355061488e+02 
       2.094583603679e-04       8.516461722461e+02 
       2.636924525799e-04       1.063213958932e+03 
       3.319691294512e-04       1.326898497953e+03 
       4.179243729973e-04       1.655180255531e+03 
       5.261356133744e-04       2.063184306937e+03 
       6.623654937270e-04       2.569061040405e+03 
       8.338687519485e-04       3.194222839426e+03 
       1.049778561929e-03       3.963378956019e+03 
       1.321592908369e-03       4.904017166164e+03 
       1.663786896393e-03       6.044972438455e+03 
       2.094583603679e-03       7.413847230955e+03 
       2.636924525799e-03       9.032816841779e+03 
       3.319691294512e-03       1.091272349518e+04 
       4.179243729973e-03       1.304508606249e+04 
       5.261356133744e-03       1.539160539917e+04 
       6.623654937270e-03       1.787268817371e+04 
       8.338687519485e-03       2.034739330233e+04 
       1.049778561929e-02       2.259676181816e+04 
       1.321592908369e-02       2.431036491823e+04 
       1.663786896390e-02       2.509682305573e+04 
       2.094583587082e-02       2.455032909097e+04 
       2.636911872837e-02       2.243900450609e+04 
       3.317937869056e-02       1.904590687415e+04 
       4.120829406624e-02       1.553738558521e+04 
       4.798444742424e-02       1.347745950573e+04 
       5.289746506074e-02       1.245006795336e+04 
       5.694780992335e-02       1.180572632317e+04 
       6.056364813182e-02       1.131998508020e+04 
       6.393573213032e-02       1.089797937661e+04 
       6.716497467566e-02       1.049130490799e+04 
       7.031186225901e-02       1.007359063345e+04 
       7.341611559804e-02       9.631635364520e+03 
       7.650572248419e-02       9.161427000661e+03 
       7.960156020378e-02       8.665981603805e+03 
       8.271996349867e-02       8.153658039547e+03 
       8.587424589942e-02       7.636555705508e+03 
       8.907564861756e-02       7.128827813605e+03 
       9.233395774559e-02       6.644980817919e+03 
       9.565791982369e-02       6.198222314808e+03 
       9.905552975330e-02       5.799002705542e+03 
       1.025342350127e-01       5.453967712760e+03 
       1.061010832874e-01       5.165220620393e+03 
       1.097628307978e-01       4.930086197486e+03 
       1.135260226708e-01       4.741098912693e+03 
       1.173970530133e-01       4.586535510907e+03 
       1.213822100006e-01       4.451360028737e+03 
       1.254877097673e-01       4.318892949177e+03 
       1.297197218884e-01       4.173299836256e+03 
       1.340843885724e-01       4.002574076108e+03 
       1.385878392441e-01       3.801349867356e+03 
       1.432362019019e-01       3.572510175575e+03 
       1.480356124401e-01       3.326803043435e+03 
       1.529922229991e-01       3.080364673880e+03 
       1.581122103294e-01       2.850668846276e+03 
       1.634017851034e-01       2.652126504889e+03 
       1.688672030761e-01       2.492447462064e+03 
       1.745147789810e-01       2.370715107446e+03 
       1.803509040273e-01       2.277554961854e+03 
       1.863820678626e-01       2.198298766322e+03 
       1.926148858558e-01       2.115190990648e+03 
       1.990561325600e-01       2.014233804278e+03 
       2.057127822296e-01       1.892124656026e+03 
       2.125920572962e-01       1.756467628496e+03 
       2.197014857678e-01       1.621755414577e+03 
       2.270489686135e-01       1.502443564007e+03 
       2.346428583438e-01       1.406712707947e+03 
       2.424920502145e-01       1.333400226401e+03 
       2.506060877896e-01       1.272981039429e+03 
       2.589952850160e-01       1.212452594376e+03 
       2.676708675354e-01       1.142591243063e+03 
       2.766451367073e-01       1.063517472081e+03 
       2.859316608238e-01       9.839188591120e+02 
       2.955454993155e-01       9.139379665545e+02 
       3.055034675027e-01       8.575503008767e+02 
       3.158244517782e-01       8.104311647857e+02 
       3.265297882407e-01       7.643837767363e+02 
       3.376437220498e-01       7.144531317203e+02 
       3.491939705992e-01       6.626817442142e+02 
       3.612124217144e-01       6.149855889642e+02 
       3.737360095167e-01       5.743707794902e+02 
       3.868078269858e-01       5.380507681727e+02 
       4.004785581499e-01       5.016868347276e+02 
       4.148083483167e-01       4.648039131618e+02 
       4.298692845408e-01       4.301289305597e+02 
       4.457487418382e-01       3.990195000531e+02 
       4.625539829387e-01       3.698065844747e+02 
       4.804186151397e-01       3.407842940209e+02 
       4.995118705875e-01       3.130033671273e+02 
       5.200523072474e-01       2.873391766382e+02 
       5.423286679377e-01       2.624299187781e+02 
       5.667327863085e-01       2.382565957703e+02 
       5.938136937877e-01       2.152086813414e+02 
       6.243710236877e-01       1.926221115121e+02 
       6.596257769879e-01       1.705453475441e+02 
       7.015542815944e-01       1.486003062282e+02 
       7.535934250155e-01       1.265095290352e+02 
       8.222500464495e-01       1.038008855856e+02 
       9.209038690122e-01       8.005467733902e+01 
       1.076873221064e+00       5.567202538658e+01 
       1.325204453667e+00       3.412796613456e+01 
       1.665539575811e+00       1.972575896893e+01 
       2.096736862685e+00       1.125781932713e+01 
       2.639635119420e+00       6.374199642253e+00 
       3.323103729597e+00       3.583414075039e+00 
       4.183539731218e+00       2.001530943769e+00 
       5.266764478880e+00       1.111433463972e+00 
