# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 1.07687 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049778561929e-05       4.516400706170e+01 
       1.321592908369e-05       5.657305182662e+01 
       1.663786896393e-05       7.245874985465e+01 
       2.094583603679e-05       9.324234674141e+01 
       2.636924525799e-05       1.147119505615e+02 
       3.319691294512e-05       1.437325632206e+02 
       4.179243729973e-05       1.791640411583e+02 
       5.261356133744e-05       2.242881148121e+02 
       6.623654937270e-05       2.803601494894e+02 
       8.338687519485e-05       3.501248511307e+02 
       1.049778561929e-04       4.373401015153e+02 
       1.321592908369e-04       5.461962085828e+02 
       1.663786896393e-04       6.820654822009e+02 
       2.094583603679e-04       8.516411455785e+02 
       2.636924525799e-04       1.063205712091e+03 
       3.319691294512e-04       1.326846504103e+03 
       4.179243729973e-04       1.655074943458e+03 
       5.261356133744e-04       2.062969287498e+03 
       6.623654937270e-04       2.568623687785e+03 
       8.338687519485e-04       3.193353940639e+03 
       1.049778561929e-03       3.961683525232e+03 
       1.321592908369e-03       4.900761347309e+03 
       1.663786896393e-03       6.038701821095e+03 
       2.094583603679e-03       7.402243595698e+03 
       2.636924525799e-03       9.012104257361e+03 
       3.319691294512e-03       1.087706076869e+04 
       4.179243729973e-03       1.298559741053e+04 
       5.261356133744e-03       1.529479722890e+04 
       6.623654937270e-03       1.771649832496e+04 
       8.338687519485e-03       2.010217754550e+04 
       1.049778561929e-02       2.222827875037e+04 
       1.321592908369e-02       2.378768111738e+04 
       1.663786896390e-02       2.440778632111e+04 
       2.094583587082e-02       2.371937022291e+04 
       2.636911872837e-02       2.154674422687e+04 
       3.317937869056e-02       1.821626917799e+04 
       4.120829406624e-02       1.487310163780e+04 
       4.798444742424e-02       1.295811033008e+04 
       5.289746506074e-02       1.202165886515e+04 
       5.694780992335e-02       1.144165138979e+04 
       6.056364813182e-02       1.100609288757e+04 
       6.393573213032e-02       1.062596214263e+04 
       6.716497467566e-02       1.025621833997e+04 
       7.031186225901e-02       9.872479092026e+03 
       7.341611559804e-02       9.462895702860e+03 
       7.650572248419e-02       9.024272760505e+03 
       7.960156020378e-02       8.560000804152e+03 
       8.271996349867e-02       8.078547491150e+03 
       8.587424589942e-02       7.591779718755e+03 
       8.907564861756e-02       7.113498042599e+03 
       9.233395774559e-02       6.657654131497e+03 
       9.565791982369e-02       6.236924352758e+03 
       9.905552975330e-02       5.861317024397e+03 
       1.025342350127e-01       5.537024817488e+03 
       1.061010832874e-01       5.265924116723e+03 
       1.097628307978e-01       5.045146663656e+03 
       1.135260226708e-01       4.867218248569e+03 
       1.173970530133e-01       4.720471723241e+03 
       1.213822100006e-01       4.590140741468e+03 
       1.254877097673e-01       4.459949655462e+03 
       1.297197218884e-01       4.314710861199e+03 
       1.340843885724e-01       4.143168301902e+03 
       1.385878392441e-01       3.940746368839e+03 
       1.432362019019e-01       3.710957159847e+03 
       1.480356124401e-01       3.464920319735e+03 
       1.529922229991e-01       3.218736370665e+03 
       1.581122103294e-01       2.989586238824e+03 
       1.634017851034e-01       2.791411966298e+03 
       1.688672030761e-01       2.631365222211e+03 
       1.745147789810e-01       2.508049151001e+03 
       1.803509040273e-01       2.411755940218e+03 
       1.863820678626e-01       2.327728791490e+03 
       1.926148858558e-01       2.238591593037e+03 
       1.990561325600e-01       2.131104329640e+03 
       2.057127822296e-01       2.002799597725e+03 
       2.125920572962e-01       1.861851317141e+03 
       2.197014857678e-01       1.722826541395e+03 
       2.270489686135e-01       1.599854185595e+03 
       2.346428583438e-01       1.500549439569e+03 
       2.424920502145e-01       1.423191407168e+03 
       2.506060877896e-01       1.357943118767e+03 
       2.589952850160e-01       1.291904953590e+03 
       2.676708675354e-01       1.216391031567e+03 
       2.766451367073e-01       1.132110138863e+03 
       2.859316608238e-01       1.048009374315e+03 
       2.955454993155e-01       9.740345693550e+02 
       3.055034675027e-01       9.137111530455e+02 
       3.158244517782e-01       8.623680311839e+02 
       3.265297882407e-01       8.118323344752e+02 
       3.376437220498e-01       7.575003195775e+02 
       3.491939705992e-01       7.017418901992e+02 
       3.612124217144e-01       6.504765816362e+02 
       3.737360095167e-01       6.064524709306e+02 
       3.868078269858e-01       5.666997415280e+02 
       4.004785581499e-01       5.269695998884e+02 
       4.148083483167e-01       4.869913530408e+02 
       4.298692845408e-01       4.495208301980e+02 
       4.457487418382e-01       4.157923991870e+02 
       4.625539829387e-01       3.840638976318e+02 
       4.804186151397e-01       3.527118963607e+02 
       4.995118705875e-01       3.228455117061e+02 
       5.200523072474e-01       2.952602705226e+02 
       5.423286679377e-01       2.685844939286e+02 
       5.667327863085e-01       2.428486305306e+02 
       5.938136937877e-01       2.184089493549e+02 
       6.243710236877e-01       1.946092668723e+02 
       6.596257769879e-01       1.715096373006e+02 
       7.015542815944e-01       1.487356068837e+02 
       7.535934250155e-01       1.260334931052e+02 
       8.222500464495e-01       1.029590228899e+02 
       9.209038690122e-01       7.914595718405e+01 
       1.076873221064e+00       5.501295136483e+01 
